"1 _ 1",,
"Время","Сила","Ход"
"сек","Н","мм"
"0","0.6898244","6.666667E-05"
"0.01","0.6810824","0.0004333333"
"0.02","0.6802877","0.0015"
"0.03","0.6858508","0.003333333"
"0.04","0.6993611","0.004833333"
"0.05","0.7255872","0.006233334"
"0.06","0.8066495","0.007966666"
"0.07","1.044273","0.009966667"
"0.08","1.540979","0.012"
"0.09","2.339681","0.01393333"
"0.1","3.412565","0.01573333"
"0.11","4.688899","0.01746667"
"0.12","6.062984","0.0192"
"0.13","7.421175","0.0209"
"0.14","8.698304","0.02256667"
"0.15","9.901524","0.02423333"
"0.16","11.06024","0.02593333"
"0.17","12.19114","0.02766667"
"0.18","13.28945","0.02936667"
"0.19","14.37108","0.03106667"
"0.2","15.45509","0.03276667"
"0.21","16.55102","0.03443334"
"0.22","17.64456","0.03613333"
"0.23","18.73096","0.03783333"
"0.24","19.811","0.0395"
"0.25","20.88467","0.04116667"
"0.26","21.94643","0.04276667"
"0.27","23.00104","0.04443333"
"0.28","24.0469","0.04613334"
"0.29","25.0864","0.04783333"
"0.3","26.12193","0.04953333"
"0.31","27.1678","0.05116667"
"0.32","28.22956","0.0528"
"0.33","29.30323","0.05443333"
"0.34","30.37612","0.05613333"
"0.35","31.43072","0.05783333"
"0.36","32.46625","0.0595"
"0.37","33.4994","0.06113333"
"0.38","34.55003","0.0628"
"0.39","35.61974","0.0645"
"0.4","36.69341","0.06613334"
"0.41","37.76153","0.0678"
"0.42","38.81772","0.06943333"
"0.43","39.86597","0.07106667"
"0.44","40.91422","0.0727"
"0.45","41.96326","0.07443333"
"0.46","43.01151","0.07613333"
"0.47","44.06611","0.0778"
"0.48","45.13423","0.0794"
"0.49","46.2079","0.081"
"0.5","47.28158","0.08263333"
"0.51","48.34096","0.08433334"
"0.52","49.37967","0.08603334"
"0.53","50.40328","0.08773334"
"0.54","51.43642","0.08936667"
"0.55","52.49818","0.091"
"0.56","53.57822","0.0927"
"0.57","54.64713","0.0944"
"0.58","55.69537","0.0961"
"0.59","56.73726","0.09773333"
"0.6","57.79266","0.09933333"
"0.61","58.85919","0.1009667"
"0.62","59.92095","0.1026333"
"0.63","60.9684","0.1043"
"0.64","62.00473","0.1059667"
"0.65","63.03708","0.1076333"
"0.66","64.07102","0.1093"
"0.67","65.10655","0.1110333"
"0.68","66.14208","0.1127333"
"0.69","67.17603","0.1144333"
"0.7","68.20679","0.1161333"
"0.71","69.23755","0.1178"
"0.72","70.27467","0.1194333"
"0.73","71.31258","0.1211333"
"0.74","72.34653","0.1228667"
"0.75","73.36378","0.1245333"
"0.76","74.3715","0.1261333"
"0.77","75.3816","0.1278"
"0.78","76.39885","0.1294667"
"0.79","77.40895","0.1311667"
"0.8","78.40395","0.1328"
"0.81","79.39418","0.1344667"
"0.82","80.39156","0.1361"
"0.83","81.39372","0.1377667"
"0.84","82.38951","0.1394667"
"0.85","83.37259","0.1411667"
"0.86","84.35091","0.1428667"
"0.87","85.33478","0.1445"
"0.88","86.33137","0.1461333"
"0.89","87.33511","0.1478"
"0.9","88.33647","0.1494333"
"0.91","89.32432","0.1511"
"0.92","90.29547","0.1527333"
"0.93","91.26107","0.1544"
"0.94","92.2362","0.1560333"
"0.95","93.22404","0.1577333"
"0.96","94.20951","0.1594"
"0.97","95.18385","0.1610667"
"0.98","96.15739","0.1627"
"0.99","97.13491","0.1643667"
"1","98.11799","0.166"
"1.01","99.0963","0.1677"
"1.02","100.0643","0.1694"
"1.03","101.0251","0.1710333"
"1.04","101.9931","0.1726667"
"1.05","102.9754","0.1743"
"1.06","103.9664","0.1759667"
"1.07","104.9582","0.1776667"
"1.08","105.9445","0.1793"
"1.09","106.9339","0.1809333"
"1.1","107.9369","0.1826"
"1.11","108.9493","0.1842667"
"1.12","109.9555","0.1859667"
"1.13","110.9497","0.1876333"
"1.14","111.9431","0.1892667"
"1.15","112.9484","0.1909"
"1.16","113.9649","0.1925667"
"1.17","114.9782","0.1942667"
"1.18","115.9787","0.1959667"
"1.19","116.9761","0.1977"
"1.2","117.9814","0.1994333"
"1.21","119.0003","0.2011333"
"1.22","120.0294","0.2028333"
"1.23","121.0753","0.2045"
"1.24","122.1323","0.2062"
"1.25","123.1813","0.2078667"
"1.26","124.2097","0.2095333"
"1.27","125.2198","0.2112"
"1.28","126.2299","0.2129"
"1.29","127.2511","0.2145667"
"1.3","128.2779","0.2162333"
"1.31","129.2944","0.2178667"
"1.32","130.2957","0.2195"
"1.33","131.2971","0.2211667"
"1.34","132.3009","0.2228333"
"1.35","133.2966","0.2245333"
"1.36","134.2805","0.2262333"
"1.37","135.2644","0.2278667"
"1.38","136.261","0.2295"
"1.39","137.2647","0.2311333"
"1.4","138.2661","0.2327667"
"1.41","139.2555","0.2344"
"1.42","140.2299","0.2360667"
"1.43","141.1891","0.2377333"
"1.44","142.1452","0.2394"
"1.45","143.106","0.2411333"
"1.46","144.074","0.2428"
"1.47","145.0499","0.2443667"
"1.48","146.029","0.2459667"
"1.49","147.0073","0.2475667"
"1.5","147.9729","0.2492667"
"1.51","148.9162","0.2509667"
"1.52","149.8413","0.2526333"
"1.53","150.764","0.2543333"
"1.54","151.7026","0.256"
"1.55","152.6626","0.2576333"
"1.56","153.6369","0.2593"
"1.57","154.6097","0.2609333"
"1.58","155.5681","0.2626"
"1.59","156.5083","0.2642667"
"1.6","157.4365","0.2659333"
"1.61","158.3632","0.2676"
"1.62","159.2883","0.2693"
"1.63","160.2149","0.2709667"
"1.64","161.1463","0.2726"
"1.65","162.0857","0.2742667"
"1.66","163.0298","0.2759333"
"1.67","163.9692","0.2776333"
"1.68","164.899","0.2793667"
"1.69","165.8249","0.2811"
"1.7","166.7571","0.2828333"
"1.71","167.7068","0.2845333"
"1.72","168.6819","0.2861667"
"1.73","169.669","0.2878333"
"1.74","170.6457","0.2894667"
"1.75","171.597","0.2911333"
"1.76","172.5244","0.2928"
"1.77","173.4424","0.2945"
"1.78","174.3634","0.2962"
"1.79","175.2885","0.2978333"
"1.8","176.2176","0.2994667"
"1.81","177.1498","0.3011"
"1.82","178.0812","0.3027667"
"1.83","179.0047","0.3044667"
"1.84","179.9266","0.3061333"
"1.85","180.854","0.3078333"
"1.86","181.7878","0.3095"
"1.87","182.7224","0.3111333"
"1.88","183.6642","0.3128"
"1.89","184.6059","0.3144333"
"1.9","185.5453","0.3161"
"1.91","186.4759","0.3177667"
"1.92","187.4042","0.3194333"
"1.93","188.3292","0.3210667"
"1.94","189.2527","0.3227333"
"1.95","190.1794","0.3244"
"1.96","191.1076","0.3260667"
"1.97","192.0382","0.3277333"
"1.98","192.9696","0.3293667"
"1.99","193.9058","0.3309667"
"2","194.8452","0.3326"
"2.01","195.779","0.3343"
"2.02","196.6993","0.336"
"2.03","197.6124","0.3376667"
"2.04","198.5399","0.3393333"
"2.05","199.4896","0.3410333"
"2.06","200.4504","0.3427"
"2.07","201.4025","0.3443334"
"2.08","202.3387","0.3459333"
"2.09","203.2654","0.3475667"
"2.1","204.1864","0.3492"
"2.11","205.0996","0.3508333"
"2.12","206","0.3525333"
"2.13","206.8957","0.3542667"
"2.14","207.8033","0.3559"
"2.15","208.7259","0.3575667"
"2.16","209.6605","0.3592333"
"2.17","210.6023","0.3609667"
"2.18","211.5321","0.3626667"
"2.19","212.4484","0.3644"
"2.2","213.3616","0.3661333"
"2.21","214.289","0.3678"
"2.22","215.2371","0.3694667"
"2.23","216.2003","0.3711"
"2.24","217.158","0.3728"
"2.25","218.0926","0.3745333"
"2.26","219.0018","0.3761667"
"2.27","219.8966","0.3778333"
"2.28","220.7907","0.3795334"
"2.29","221.6927","0.3812"
"2.3","222.5963","0.3828333"
"2.31","223.4999","0.3845"
"2.32","224.4051","0.3861333"
"2.33","225.3127","0.3878333"
"2.34","226.2131","0.3895333"
"2.35","227.1008","0.3911667"
"2.36","227.9814","0.3928334"
"2.37","228.8643","0.3945"
"2.38","229.7513","0.3961667"
"2.39","230.6358","0.3978333"
"2.4","231.5148","0.3994667"
"2.41","232.3929","0.4011"
"2.42","233.2751","0.4027667"
"2.43","234.158","0.4043667"
"2.44","235.033","0.406"
"2.45","235.8913","0.4077334"
"2.46","236.7401","0.4094333"
"2.47","237.5952","0.4110667"
"2.48","238.471","0.4126667"
"2.49","239.3595","0.4143333"
