41.7мм @1мм/мин			9.8мм @1мм/мин			6.0мм @1мм/мин			6.0мм @3мм/мин		
Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход
сек	Н	мм	сек	Н	мм	сек	Н	мм	сек	Н	мм
0	-0,03099442	0	0	0,04529953	0	0	0,0055631	0	0	-0,01430511	0
0,1	-0,03496806	0,0015	0,1	0,03178914	0,001466667	0,1	0,003178914	0,001533333	0,1	-0,01748403	0,001433333
0,2	-0,02384186	0,0033	0,2	0,04132589	0,003233333	0,2	0,01033147	0,0033	0,2	-0,02145767	0,0032
0,3	-0,02145767	0,004933333	0,3	0,0278155	0,004966667	0,3	0,009536743	0,004933333	0,3	-0,02145767	0,0049
0,4	-0,02463659	0,006633333	0,4	0,02066294	0,0066	0,4	0,007152557	0,006633333	0,4	-0,003178914	0,006566667
0,5	-0,03576279	0,008266667	0,5	0,007152557	0,008266667	0,5	0,01033147	0,0083	0,5	-0,0278155	0,008266667
0,6	-0,02384186	0,009933334	0,6	0,03178914	0,0099	0,6	0,01430511	0,009966667	0,6	-0,0055631	0,009933334
0,7	-0,03019969	0,0116	0,7	0,04609426	0,0116	0,7	0,01827876	0,01163333	0,7	-0,01271566	0,01156667
0,8	-0,01430511	0,0133	0,8	0,0278155	0,01326667	0,8	-0,003178914	0,0133	0,8	-0,02463659	0,01326667
0,9	-0,0445048	0,01496667	0,9	0,02543131	0,01493333	0,9	0,0007947286	0,01496667	0,9	-0,01430511	0,0149
1	-0,03019969	0,01663333	1	0,004768372	0,01656667	1	0,0055631	0,01663333	1	-0,0278155	0,01656667
1,1	-0,008742015	0,01833333	1,1	0,02145767	0,01826667	1,1	-0,003973643	0,0183	1,1	-0,01748403	0,01826667
1,2	-0,02861023	0,01996667	1,2	0,02384186	0,01993333	1,2	0,01589457	0,02	1,2	-0,01430511	0,01993333
1,3	-0,01509984	0,02163333	1,3	0,01589457	0,02156667	1,3	-0,0111262	0,02163333	1,3	-0,03496806	0,02156667
1,4	-0,001589457	0,02326667	1,4	0,02543131	0,02326667	1,4	-0,003973643	0,02333333	1,4	-0,02463659	0,02323333
1,5	-0,02622604	0,02496667	1,5	0,03178914	0,02493333	1,5	0,003178914	0,02496667	1,5	-0,01033147	0,02493333
1,6	-0,04212062	0,02666667	1,6	0,02702077	0,0266	1,6	0,0007947286	0,02663333	1,6	-0,02463659	0,0266
1,7	-0,04609426	0,0283	1,7	0,02702077	0,02823333	1,7	-0,007947286	0,0283	1,7	-0,02622604	0,02826667
1,8	-0,04927317	0,02996667	1,8	0,02702077	0,02993333	1,8	0,01351039	0,02996667	1,8	-0,02384186	0,02993333
1,9	-0,03735225	0,03163333	1,9	0,03735225	0,03156667	1,9	0,007152557	0,03163333	1,9	-0,03496806	0,03156667
2	-0,02861023	0,0333	2	0,01827876	0,03326667	2	0,0007947286	0,0333	2	-0,03814697	0,03326667
2,1	-0,04132589	0,03496667	2,1	0,02384186	0,03493333	2,1	-0,01509984	0,03496667	2,1	0,0007947286	0,0349
2,2	-0,02145767	0,03663334	2,2	0,01192093	0,0366	2,2	-0,006357829	0,03663334	2,2	-0,0222524	0,0366
2,3	-0,02622604	0,03833333	2,3	0,01907349	0,03823333	2,3	-0,01033147	0,03826667	2,3	-0,01986822	0,03826667
2,4	-0,02463659	0,03996667	2,4	0,01430511	0,03996667	2,4	-0,003178914	0,04	2,4	-0,0333786	0,03993334
2,5	-0,02463659	0,04166667	2,5	0,0278155	0,04163333	2,5	0,002384186	0,04163333	2,5	-0,0333786	0,04156667
2,6	-0,03258387	0,0433	2,6	0,02066294	0,0433	2,6	-0,006357829	0,0433	2,6	-0,0055631	0,04326667
2,7	-0,02861023	0,04496667	2,7	0,03735225	0,04493333	2,7	-0,01748403	0,04496667	2,7	-0,02861023	0,0449
2,8	-0,04371007	0,04663333	2,8	0,02304713	0,0466	2,8	0,0055631	0,04663333	2,8	-0,01907349	0,04663333
2,9	-0,03019969	0,0483	2,9	0,01907349	0,0483	2,9	-0,01033147	0,04833334	2,9	-0,0222524	0,04826667
3	-0,02463659	0,04996667	3	0,02702077	0,04993333	3	-0,007947286	0,04996667	3	-0,01907349	0,0499
3,1	-0,0278155	0,0516	3,1	0,03496806	0,05163334	3,1	-0,02622604	0,05163334	3,1	-0,008742015	0,05156667
3,2	0,0166893	0,0533	3,2	0,03496806	0,05326667	3,2	0,002384186	0,0533	3,2	-0,01748403	0,05326667
3,3	0,2717972	0,05496667	3,3	0,03019969	0,05493334	3,3	-0,0007947286	0,05496667	3,3	-0,04212062	0,05486667
3,4	0,7621447	0,05663333	3,4	0,002384186	0,0566	3,4	-0,006357829	0,05663333	3,4	-0,01033147	0,05663333
3,5	1,488527	0,0583	3,5	0,0007947286	0,05823334	3,5	-0,0055631	0,0583	3,5	-0,01430511	0,05826667
3,6	2,37306	0,05996667	3,6	0,002384186	0,05993333	3,6	-0,01748403	0,05996667	3,6	-0,01907349	0,05993333
3,7	3,398259	0,0616	3,7	0,01430511	0,0616	3,7	-0,01748403	0,06166667	3,7	-0,0278155	0,0616
3,8	4,529953	0,0633	3,8	0,01033147	0,06326666	3,8	-0,01986822	0,06333333	3,8	-0,0055631	0,06326666
3,9	5,782445	0,06493334	3,9	0,03178914	0,0649	3,9	-0,0055631	0,06493334	3,9	-0,01509984	0,06493334
4	7,115205	0,0666	4	0,03178914	0,0666	4	0,01430511	0,06663334	4	-0,01033147	0,0666
4,1	8,520286	0,06826667	4,1	0,01907349	0,06826667	4,1	0,002384186	0,0683	4,1	-0,0166893	0,06826667
4,2	10,00404	0,06996667	4,2	0,04609426	0,06996667	4,2	0,01033147	0,06996667	4,2	-0,0166893	0,0699
4,3	11,50529	0,07163333	4,3	0,03178914	0,07163333	4,3	-0,008742015	0,07163333	4,3	-0,01430511	0,0716
4,4	13,13289	0,0733	4,4	0,01827876	0,07326667	4,4	-0,01271566	0,0733	4,4	-0,007947286	0,07326667
4,5	14,79546	0,07493334	4,5	0,0389417	0,07493334	4,5	0,004768372	0,07496667	4,5	0,002384186	0,07493334
4,6	16,50333	0,07663333	4,6	0,0278155	0,0766	4,6	-0,02145767	0,07666667	4,6	-0,006357829	0,07663333
4,7	18,18736	0,0783	4,7	0,01192093	0,07823333	4,7	0,0007947286	0,0783	4,7	-0,02384186	0,08143333
4,8	20,00968	0,07993334	4,8	0,01589457	0,07996666	4,8	-0,008742015	0,08003333	4,8	-0,003973643	0,0864
4,9	21,79861	0,08163334	4,9	0,0389417	0,0816	4,9	-0,01907349	0,08166667	4,9	-0,01033147	0,09146667
5	23,62251	0,0833	5	0,03417333	0,08326667	5	-0,006357829	0,0833	5	-0,01033147	0,09636667
5,1	25,54178	0,08496667	5,1	0,02384186	0,08493333	5,1	-0,01509984	0,08496667	5,1	-0,01748403	0,1014667
5,2	27,46502	0,0866	5,2	0,009536743	0,08663333	5,2	-0,003973643	0,08663333	5,2	-0,006357829	0,1064
5,3	29,43754	0,0883	5,3	0,03178914	0,08826667	5,3	0,01192093	0,0883	5,3	-0,01748403	0,1114
5,4	31,44741	0,08996667	5,4	0,03496806	0,08993334	5,4	0,0055631	0,09	5,4	-0,006357829	0,1164667
5,5	33,4851	0,09163333	5,5	0,02384186	0,0916	5,5	-0,006357829	0,09163333	5,5	-0,01509984	0,1214
5,6	35,5951	0,0933	5,6	0,03258387	0,0933	5,6	0,01192093	0,09333333	5,6	-0,008742015	0,1264333
5,7	37,67729	0,09493333	5,7	0,04529953	0,09493333	5,7	0,01589457	0,09496666	5,7	-0,001589457	0,1315333
5,8	39,7714	0,09663334	5,8	0,03735225	0,09663334	5,8	-0,01430511	0,09663334	5,8	-0,02384186	0,1364
5,9	41,93306	0,09826667	5,9	0,03496806	0,09826667	5,9	0,007152557	0,0983	5,9	0,0007947286	0,1414667
6	44,14797	0,09993333	6	0,03178914	0,09993333	6	-0,0007947286	0,1	6	-0,01033147	0,1464667
6,1	46,36765	0,1016333	6,1	0,02304713	0,1016	6,1	-0,008742015	0,1016333	6,1	0,003178914	0,1514333
6,2	48,6056	0,1033	6,2	0,01430511	0,1032667	6,2	0,004768372	0,1033	6,2	-0,003178914	0,1564667
6,3	50,84991	0,1049667	6,3	0,0278155	0,1049	6,3	0,01430511	0,105	6,3	-0,01430511	0,1614333
6,4	53,17688	0,1066333	6,4	0,0166893	0,1066333	6,4	0,009536743	0,1066333	6,4	0,004768372	0,1664333
6,5	55,40609	0,1083	6,5	0,03258387	0,1083	6,5	-0,003973643	0,1083	6,5	-0,0278155	0,1714333
6,6	57,72193	0,1099667	6,6	0,0389417	0,1099333	6,6	0,0055631	0,11	6,6	-0,0055631	0,1764
6,7	59,99088	0,1116	6,7	0,03655751	0,1115667	6,7	0,0055631	0,1116333	6,7	-0,0111262	0,1814
6,8	62,35202	0,1133	6,8	0,01192093	0,1132667	6,8	0,003178914	0,1133	6,8	-0,0222524	0,1865
6,9	64,71475	0,1149667	6,9	0,01907349	0,1149	6,9	-0,0055631	0,1149667	6,9	0,0055631	0,1914333
7	67,06953	0,1166333	7	0,02066294	0,1166	7	0,007947286	0,1166333	7	0,004768372	0,1964667
7,1	69,46484	0,1183	7,1	0,0166893	0,1183	7,1	0,0166893	0,1183	7,1	-0,01033147	0,2014333
7,2	71,96029	0,1199667	7,2	0,02543131	0,1199333	7,2	0,003178914	0,1199667	7,2	0,01430511	0,2064
7,3	74,42872	0,1216333	7,3	0,009536743	0,1216	7,3	0,0007947286	0,1216667	7,3	-0,003178914	0,2114333
7,4	76,92735	0,1232667	7,4	0,01589457	0,1233	7,4	0,003178914	0,1233333	7,4	0,01589457	0,2164667
7,5	79,35842	0,125	7,5	0,02702077	0,1249667	7,5	0,01033147	0,1249667	7,5	0,0007947286	0,2214333
7,6	81,88327	0,1266333	7,6	0,004768372	0,1266	7,6	0,01589457	0,1266333	7,6	0,01033147	0,2265
7,7	84,43514	0,1282667	7,7	0,0166893	0,1282667	7,7	0,007947286	0,1283	7,7	-0,0222524	0,2314667
7,8	86,95523	0,1299667	7,8	0,01827876	0,1299667	7,8	-0,0111262	0,1299667	7,8	0,004768372	0,2364333
7,9	89,47134	0,1316333	7,9	0,03178914	0,1316333	7,9	0,007152557	0,1316333	7,9	0,0007947286	0,2415
8	92,02322	0,1333	8	0,004768372	0,1333	8	0,009536743	0,1333	8	-0,03099442	0,2464
8,1	94,57906	0,1349667	8,1	0,01351039	0,1349667	8,1	-0,01271566	0,1349667	8,1	-0,003973643	0,2514
8,2	97,18021	0,1366333	8,2	0,02066294	0,1366	8,2	-0,003973643	0,1366333	8,2	-0,01271566	0,2564667
8,3	99,75195	0,1382667	8,3	0,01351039	0,1382667	8,3	0,003178914	0,1383333	8,3	-0,01271566	0,2614
8,4	102,338	0,1399333	8,4	0,01192093	0,1399333	8,4	0,01192093	0,1399667	8,4	0,04768372	0,2664
8,5	104,8986	0,1416	8,5	0,02066294	0,1416333	8,5	0,004768372	0,1416333	8,5	0,1136462	0,2714667
8,6	107,5435	0,1433	8,6	-0,003973643	0,1432667	8,6	-0,0111262	0,1433	8,6	0,2026558	0,2764333
8,7	110,112	0,1449333	8,7	0,03258387	0,1449333	8,7	-0,008742015	0,145	8,7	0,2551079	0,2814333
8,8	112,7362	0,1466333	8,8	0,03417333	0,1466	8,8	-0,02145767	0,1466667	8,8	0,3480911	0,2864333
8,9	115,2865	0,1483333	8,9	0,01430511	0,1482667	8,9	-0,0007947286	0,1483	8,9	0,4291534	0,2914
9	117,9004	0,1499333	9	0,01430511	0,1499333	9	-0,01033147	0,1499333	9	0,5086263	0,2964667
9,1	120,6024	0,1516333	9,1	0,01033147	0,1516333	9,1	-0,003973643	0,1516667	9,1	0,5777677	0,3014333
9,2	123,1615	0,1533	9,2	0,02066294	0,1533	9,2	-0,003178914	0,1533333	9,2	0,6421407	0,3064667
9,3	125,7833	0,1549333	9,3	0,02145767	0,1549333	9,3	-0,01748403	0,1550333	9,3	0,705719	0,3115333
9,4	128,5005	0,1566333	9,4	0,01907349	0,1566	9,4	0,003178914	0,1566667	9,4	0,7915497	0,3164
9,5	131,1715	0,1583333	9,5	0,02066294	0,1582667	9,5	0,0007947286	0,1583	9,5	0,8670489	0,3214333
9,6	133,7409	0,1599333	9,6	0,04291534	0,1599333	9,6	-0,01430511	0,1600333	9,6	0,9640058	0,3265
9,7	136,4422	0,1616	9,7	0,01192093	0,1616333	9,7	-0,01271566	0,1616333	9,7	1,039505	0,3314
9,8	139,1864	0,1633	9,8	0,02384186	0,1633	9,8	-0,0111262	0,1633333	9,8	1,105467	0,3364334
9,9	141,8297	0,1649667	9,9	0,0278155	0,1649	9,9	0,004768372	0,165	9,9	1,184146	0,3414333
10	144,5206	0,1666	10	0,007947286	0,1666	10	0,003178914	0,1666667	10	1,269182	0,3464
10,1	147,2084	0,1683	10,1	0,03496806	0,1682667	10,1	-0,01271566	0,1683333	10,1	1,335939	0,3514333
10,2	149,9462	0,1699667	10,2	0,04053116	0,1699667	10,2	-0,01748403	0,1699667	10,2	1,417796	0,3564333
10,3	152,7158	0,1716333	10,3	0,05960464	0,1716333	10,3	-0,0007947286	0,1716333	10,3	1,495679	0,3614333
10,4	155,4736	0,1733	10,4	0,08980433	0,1733	10,4	-0,008742015	0,1733	10,4	1,58151	0,3664667
10,5	158,1891	0,1749667	10,5	0,1247724	0,1749667	10,5	-0,01986822	0,175	10,5	1,671314	0,3714
10,6	160,9977	0,1766333	10,6	0,1867612	0,1766	10,6	-0,01430511	0,1766333	10,6	1,740456	0,3764
10,7	163,819	0,1783	10,7	0,2797445	0,1782667	10,7	-0,007947286	0,1783	10,7	1,839797	0,3815
10,8	166,595	0,1799333	10,8	0,3552437	0,1799333	10,8	0,002384186	0,18	10,8	1,916091	0,3864
10,9	169,398	0,1816333	10,9	0,465711	0,1816	10,9	-0,01748403	0,1816333	10,9	2,005895	0,3914667
11	172,1493	0,1833	11	0,5690257	0,1832667	11	-0,0007947286	0,1833	11	2,100468	0,3965333
11,1	175,0604	0,1849667	11,1	0,6516774	0,1849667	11,1	-0,001589457	0,1849333	11,1	2,187093	0,4014667
11,2	177,9024	0,1866667	11,2	0,7541974	0,1866333	11,2	-0,001589457	0,1866333	11,2	2,276897	0,4064667
11,3	180,68	0,1883	11,3	0,8312861	0,1883	11,3	0,0055631	0,1883	11,3	2,353191	0,4114333
11,4	183,4687	0,1899667	11,4	0,9719531	0,1899	11,4	0,002384186	0,1899667	11,4	2,441406	0,4164
11,5	186,402	0,1916333	11,5	1,062552	0,1915667	11,5	0,0055631	0,1916667	11,5	2,524853	0,4214333
11,6	189,321	0,1932667	11,6	1,159509	0,1932667	11,6	-0,0111262	0,1933	11,6	2,62022	0,4264
11,7	192,2107	0,1949667	11,7	1,279513	0,1949333	11,7	-0,001589457	0,1949667	11,7	2,708435	0,4314
11,8	195,1393	0,1966333	11,8	1,398722	0,1966	11,8	0,007947286	0,1966333	11,8	2,806981	0,4364667
11,9	198,0726	0,1983	11,9	1,493295	0,1982333	11,9	-0,0055631	0,1983	11,9	2,894402	0,4414667
12	201,0306	0,1999667	12	1,591841	0,1999667	12	-0,003178914	0,2	12	3,004074	0,4464667
12,1	203,9679	0,2016333	12,1	1,717409	0,2016	12,1	0,003178914	0,2016667	12,1	3,065268	0,4514333
12,2	206,8861	0,2033	12,2	1,824697	0,2032667	12,2	0,0166893	0,2033	12,2	3,154278	0,4564
12,3	209,7932	0,2049667	12,3	1,922449	0,2049	12,3	0,002384186	0,2049667	12,3	3,238519	0,4614334
12,4	212,7488	0,2066	12,4	2,056758	0,2066333	12,4	-0,0007947286	0,2066333	12,4	3,32276	0,4664333
12,5	215,7696	0,2083	12,5	2,161662	0,2083	12,5	0,007152557	0,2083333	12,5	3,404617	0,4714
12,6	218,6712	0,2099667	12,6	2,296766	0,2099333	12,6	-0,0055631	0,2099667	12,6	3,494422	0,4765
12,7	221,6681	0,2116667	12,7	2,402465	0,2116	12,7	-0,003178914	0,2116667	12,7	3,597736	0,4814667
12,8	224,6801	0,2133	12,8	2,518495	0,2132667	12,8	-0,0007947286	0,2133	12,8	3,676414	0,4864333
12,9	227,7056	0,2149667	12,9	2,640088	0,2149333	12,9	0,004768372	0,2149333	12,9	3,747145	0,4915
13	230,7121	0,2166333	13	2,738635	0,2166	13	0,01192093	0,2166333	13	3,853639	0,4964
13,1	233,7352	0,2183	13,1	2,869765	0,2183	13,1	0,0055631	0,2183	13,1	3,95457	0,5014333
13,2	236,8442	0,2199667	13,2	2,989769	0,2199333	13,2	0,007152557	0,2199667	13,2	4,032453	0,5064334
13,3	239,9508	0,2216333	13,3	3,093084	0,2215667	13,3	0,01192093	0,2216333	13,3	4,14292	0,5114
13,4	242,974	0,2232333	13,4	3,223419	0,2232667	13,4	0,02145767	0,2233	13,4	4,234314	0,5164
13,5	246,1473	0,2249667	13,5	3,364881	0,2249333	13,5	-0,006357829	0,2249667	13,5	4,329681	0,5214667
13,6	249,3072	0,2266333	13,6	3,454685	0,2266	13,6	-0,0055631	0,2266667	13,6	4,40518	0,5264333
13,7	252,5163	0,2283	13,7	3,589789	0,2282667	13,7	-0,003973643	0,2283333	13,7	4,492601	0,5314333
13,8	255,5982	0,2299667	13,8	3,701051	0,2299333	13,8	-0,007947286	0,2300333	13,8	4,568895	0,5364
13,9	258,7016	0,2316333	13,9	3,822644	0,2316333	13,9	0,01430511	0,2316667	13,9	4,661878	0,5414333
14	261,937	0,2332667	14	3,949006	0,2332667	14	0,009536743	0,2333	14	4,77314	0,5464666
14,1	265,0945	0,2349333	14,1	4,069805	0,2349667	14,1	0,009536743	0,2349667	14,1	4,836718	0,5514666
14,2	268,3695	0,2366333	14,2	4,182657	0,2366333	14,2	-0,01271566	0,2366667	14,2	4,931291	0,5564
14,3	271,5468	0,2383	14,3	4,301071	0,2382333	14,3	0,009536743	0,2383	14,3	5,016327	0,5615
14,4	274,6693	0,2399667	14,4	4,414717	0,2399667	14,4	-0,006357829	0,24	14,4	5,117258	0,5664667
14,5	277,946	0,2416	14,5	4,52598	0,2416333	14,5	0,01907349	0,2416667	14,5	5,206267	0,5714334
14,6	281,113	0,2433	14,6	4,651546	0,2432667	14,6	-0,008742015	0,2433	14,6	5,292892	0,5764667
14,7	284,2101	0,2449333	14,7	4,785856	0,2449333	14,7	-0,0055631	0,2450333	14,7	5,386671	0,5814334
14,8	287,4041	0,2466333	14,8	4,916191	0,2466	14,8	-0,03496806	0,2466667	14,8	5,472501	0,5864334
14,9	290,6314	0,2482667	14,9	5,030632	0,2482667	14,9	-0,02463659	0,2483	14,9	5,543232	0,5914333
15	293,8469	0,2499667	15	5,152225	0,2499667	15	-0,01271566	0,25	15	5,631447	0,5964
15,1	297,0179	0,2516333	15,1	5,261103	0,2516333	15,1	0,01430511	0,2516333	15,1	5,726019	0,6014667
15,2	300,1984	0,2533	15,2	5,397797	0,2533	15,2	-0,02861023	0,2533	15,2	5,821387	0,6064333
15,3	303,3765	0,2549667	15,3	5,526543	0,2549667	15,3	0,0007947286	0,2549667	15,3	5,908012	0,6114333
15,4	306,6087	0,2566333	15,4	5,647341	0,2566333	15,4	-0,006357829	0,2566667	15,4	5,992254	0,6164667
15,5	309,7129	0,2583	15,5	5,75304	0,2583	15,5	0,01192093	0,2583333	15,5	6,091595	0,6214
15,6	312,9268	0,2599333	15,6	5,882581	0,2599333	15,6	-0,01033147	0,2599667	15,6	6,147226	0,6264
15,7	316,0962	0,2616333	15,7	5,999406	0,2616333	15,7	-0,003178914	0,2616333	15,7	6,257693	0,6315
15,8	319,2957	0,2632667	15,8	6,154378	0,2632667	15,8	-0,006357829	0,2633	15,8	6,35465	0,6364334
15,9	322,4452	0,2649333	15,9	6,266435	0,2649333	15,9	0,003178914	0,2649667	15,9	6,432533	0,6414667
16	325,6544	0,2666333	16	6,36975	0,2666	16	-0,02384186	0,2666333	16	6,524722	0,6465
16,1	328,8039	0,2683	16,1	6,489754	0,2682667	16,1	-0,0055631	0,2683	16,1	6,619295	0,6514
16,2	331,9454	0,2699667	16,2	6,619295	0,2699333	16,2	-0,03099442	0,2699667	16,2	6,717841	0,6564667
