1 _ 1			1 _ 2			1 _ 3		
Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход
сек	Н	мм	сек	Н	мм	сек	Н	мм
			900	180,2341	15			
			900,01	180,2301	15,00017			
			900,02	180,2278	15,00033			
			900,03	180,2254	15,00047			
			900,04	180,227	15,00063			
			900,05	180,2317	15,0008			
			900,06	180,2365	15,00097			
			900,07	180,2341	15,00113			
			900,08	180,2278	15,0013			
			900,09	180,2222	15,0015			
			900,1	180,2206	15,00167			
			900,11	180,223	15,0018			
			900,12	180,2254	15,00197			
			900,13	180,227	15,00217			
			900,14	180,227	15,0023			
			900,15	180,227	15,00247			
			900,16	180,2293	15,00263			
			900,17	180,2317	15,0028			
			900,18	180,2365	15,00297			
			900,19	180,2413	15,00317			
			900,2	180,2468	15,00337			
			900,21	180,2492	15,0035			
			900,22	180,2492	15,00367			
			900,23	180,2476	15,00383			
			900,24	180,2516	15,00397			
			900,25	180,2611	15,00413			
			900,26	180,2699	15,0043			
			900,27	180,2762	15,00447			
			900,28	180,2762	15,00463			
			900,29	180,2659	15,0048			
			900,3	180,2516	15,00497			
			900,31	180,2405	15,00517			
			900,32	180,2405	15,0053			
			900,33	180,2468	15,00547			
			900,34	180,2548	15,00563			
			900,35	180,2651	15,00583			
			900,36	180,2715	15,00603			
			900,37	180,2675	15,00617			
			900,38	180,2627	15,00633			
			900,39	180,2627	15,0065			
			900,4	180,2699	15,00663			
			900,41	180,2794	15,0068			
			900,42	180,2874	15,007			
			900,43	180,2818	15,00717			
			900,44	180,2683	15,00733			
			900,45	180,2627	15,00747			
			900,46	180,2659	15,00763			
			900,47	180,2699	15,00783			
			900,48	180,2675	15,008			
			900,49	180,2659	15,00817			
			900,5	180,2715	15,0083			
			900,51	180,2786	15,00847			
			900,52	180,2818	15,00863			
			900,53	180,2818	15,00883			
			900,54	180,2786	15,00897			
			900,55	180,2794	15,00913			
			900,56	180,2882	15,0093			
			900,57	180,2969	15,00947			
			900,58	180,2985	15,00963			
			900,59	180,2985	15,0098			
			900,6	180,2969	15,01			
			900,61	180,2969	15,01013			
			900,62	180,2985	15,0103			
			900,63	180,2985	15,01047			
			900,64	180,2945	15,01063			
			900,65	180,2897	15,01083			
			900,66	180,2897	15,01097			
			900,67	180,2929	15,01113			
			900,68	180,2953	15,0113			
			900,69	180,2929	15,01147			
			900,7	180,2897	15,01163			
			900,71	180,2921	15,0118			
			900,72	180,2953	15,01197			
			900,73	180,2993	15,01213			
			900,74	180,3033	15,0123			
			900,75	180,308	15,01247			
			900,76	180,3104	15,01263			
			900,77	180,3096	15,01283			
			900,78	180,3104	15,01297			
			900,79	180,3192	15,01313			
			900,8	180,3263	15,0133			
			900,81	180,3255	15,0135			
			900,82	180,3239	15,01363			
			900,83	180,3231	15,0138			
			900,84	180,3199	15,01397			
			900,85	180,3176	15,01413			
			900,86	180,3176	15,0143			
			900,87	180,3199	15,01447			
			900,88	180,3231	15,01463			
			900,89	180,3239	15,0148			
			900,9	180,3255	15,01497			
			900,91	180,3263	15,01513			
			900,92	180,3303	15,0153			
			900,93	180,3335	15,01547			
			900,94	180,3335	15,01563			
			900,95	180,3303	15,0158			
			900,96	180,3263	15,01597			
			900,97	180,3239	15,01613			
			900,98	180,3231	15,0163			
			900,99	180,3255	15,01647			
			901	180,3287	15,01663			
			901,01	180,3303	15,0168			
			901,02	180,3287	15,01697			
			901,03	180,3351	15,01713			
			901,04	180,3478	15,0173			
			901,05	180,3533	15,01747			
			901,06	180,3509	15,01763			
			901,07	180,3501	15,0178			
			901,08	180,3509	15,018			
			901,09	180,3525	15,01813			
			901,1	180,3486	15,0183			
			901,11	180,3446	15,01847			
			901,12	180,3462	15,01863			
			901,13	180,3509	15,0188			
			901,14	180,3573	15,01897			
			901,15	180,3581	15,01913			
			901,16	180,3549	15,0193			
			901,17	180,3533	15,0195			
			901,18	180,3557	15,01963			
			901,19	180,3557	15,0198			
			901,2	180,3525	15,01997			
			901,21	180,3478	15,02013			
			901,22	180,3501	15,0203			
			901,23	180,3533	15,02047			
			901,24	180,3549	15,02063			
			901,25	180,3533	15,02083			
			901,26	180,3525	15,02097			
			901,27	180,3525	15,02117			
			901,28	180,3509	15,02133			
			901,29	180,3501	15,0215			
			901,3	180,3525	15,02163			
			901,31	180,3557	15,0218			
			901,32	180,3573	15,02197			
			901,33	180,3581	15,0221			
			901,34	180,3573	15,0223			
			901,35	180,3525	15,02247			
			901,36	180,3438	15,02263			
			901,37	180,3366	15,02283			
			901,38	180,3303	15,02297			
			901,39	180,3255	15,02313			
			901,4	180,3239	15,0233			
			901,41	180,3263	15,0235			
			901,42	180,3279	15,02367			
			901,43	180,3263	15,0238			
			901,44	180,3255	15,02397			
			901,45	180,3192	15,02417			
			901,46	180,308	15,0243			
			901,47	180,2969	15,02447			
			901,48	180,285	15,02467			
			901,49	180,2651	15,02483			
			901,5	180,2429	15,025			
			901,51	180,227	15,02517			
			901,52	180,2142	15,02533			
			901,53	180,1999	15,02547			
			901,54	180,1761	15,02563			
			901,55	180,1507	15,0258			
			901,56	180,1244	15,02593			
			901,57	180,1014	15,0261			
			901,58	180,0791	15,0263			
			901,59	180,0545	15,02647			
			901,6	180,0338	15,02663			
			901,61	180,0187	15,0268			
			901,62	180,0116	15,02697			
			901,63	180,0052	15,02713			
			901,64	179,9941	15,0273			
			901,65	179,9798	15,02747			
			901,66	179,9631	15,02763			
			901,67	179,9528	15,0278			
			901,68	179,9472	15,02797			
			901,69	179,9472	15,0281			
			901,7	179,9448	15,0283			
			901,71	179,9417	15,02847			
			901,72	179,9393	15,02863			
			901,73	179,9417	15,0288			
			901,74	179,9472	15,02897			
			901,75	179,9552	15,02913			
			901,76	179,9623	15,0293			
			901,77	179,9631	15,02947			
			901,78	179,9583	15,02963			
			901,79	179,9536	15,02977			
			901,8	179,9528	15,02993			
			901,81	179,9536	15,0301			
			901,82	179,9583	15,0303			
			901,83	179,9671	15,03047			
			901,84	179,9742	15,03063			
			901,85	179,9798	15,0308			
			901,86	179,987	15,03097			
			901,87	179,9989	15,0311			
			901,88	180,0124	15,0313			
			901,89	180,0211	15,03147			
			901,9	180,0227	15,03163			
			901,91	180,0259	15,0318			
			901,92	180,0315	15,03197			
			901,93	180,0338	15,03213			
			901,94	180,0323	15,0323			
			901,95	180,0315	15,03247			
			901,96	180,0323	15,03263			
			901,97	180,037	15,0328			
			901,98	180,0434	15,03297			
			901,99	180,0529	15,03317			
			902	180,064	15,03333			
			902,01	180,0744	15,0335			
			902,02	180,0815	15,03367			
			902,03	180,0863	15,0338			
			902,04	180,0879	15,03397			
			902,05	180,0879	15,03417			
			902,06	180,0879	15,0343			
			902,07	180,0927	15,03447			
			902,08	180,0998	15,03463			
			902,09	180,1078	15,0348			
			902,1	180,1133	15,03497			
			902,11	180,1157	15,03513			
			902,12	180,1149	15,0353			
			902,13	180,1109	15,0355			
			902,14	180,1038	15,03567			
			902,15	180,099	15,03583			
			902,16	180,0966	15,03597			
			902,17	180,099	15,0362			
			902,18	180,1062	15,03633			
			902,19	180,1189	15,0365			
			902,2	180,1308	15,03663			
			902,21	180,138	15,0368			
			902,22	180,1395	15,03697			
			902,23	180,1395	15,03717			
			902,24	180,1443	15,03733			
			902,25	180,1554	15,03747			
			902,26	180,1674	15,03763			
			902,27	180,1705	15,0378			
			902,28	180,1642	15,03797			
			902,29	180,1578	15,0381			
			902,3	180,1554	15,03827			
			902,31	180,1538	15,03843			
			902,32	180,153	15,03863			
			902,33	180,1578	15,03877			
			902,34	180,1674	15,03897			
			902,35	180,1753	15,03917			
			902,36	180,1729	15,03933			
			902,37	180,1666	15,0395			
			902,38	180,165	15,03967			
			902,39	180,1713	15,03983			
			902,4	180,1777	15,04			
			902,41	180,1848	15,04013			
			902,42	180,1896	15,0403			
			902,43	180,1896	15,0405			
			902,44	180,1896	15,04067			
			902,45	180,196	15,04083			
			902,46	180,2087	15,041			
			902,47	180,2158	15,04113			
			902,48	180,2166	15,0413			
			902,49	180,2182	15,04147			
			902,5	180,2206	15,04163			
			902,51	180,227	15,0418			
			902,52	180,2365	15,04197			
			902,53	180,2389	15,04213			
			902,54	180,2333	15,0423			
			902,55	180,2254	15,04247			
			902,56	180,2278	15,04263			
			902,57	180,2341	15,0428			
			902,58	180,2357	15,043			
			902,59	180,2357	15,04317			
			902,6	180,2429	15,0433			
			902,61	180,2564	15,0435			
			902,62	180,2659	15,04367			
			902,63	180,2699	15,04383			
			902,64	180,2699	15,044			
			902,65	180,2683	15,04413			
			902,66	180,2675	15,0443			
			902,67	180,2659	15,04447			
			902,68	180,2699	15,04463			
			902,69	180,277	15,0448			
			902,7	180,285	15,04497			
			902,71	180,2905	15,04513			
			902,72	180,2905	15,0453			
			902,73	180,2858	15,04547			
			902,74	180,2818	15,04563			
			902,75	180,2858	15,0458			
			902,76	180,2953	15,04597			
			902,77	180,3096	15,04617			
			902,78	180,3176	15,04633			
			902,79	180,3192	15,04647			
			902,8	180,3231	15,04663			
			902,81	180,3327	15,0468			
			902,82	180,3414	15,04697			
			902,83	180,3462	15,04713			
			902,84	180,3422	15,0473			
			902,85	180,3327	15,04747			
			902,86	180,3263	15,04763			
			902,87	180,3255	15,0478			
			902,88	180,3279	15,04797			
			902,89	180,3327	15,04813			
			902,9	180,3374	15,0483			
			902,91	180,3414	15,04847			
			902,92	180,3398	15,04863			
			902,93	180,3366	15,04883			
			902,94	180,3398	15,04897			
			902,95	180,3486	15,04917			
			902,96	180,3557	15,04933			
			902,97	180,3581	15,0495			
			902,98	180,3581	15,04967			
			902,99	180,3621	15,04983			
			903	180,3716	15,05			
			903,01	180,3803	15,05013			
			903,02	180,3819	15,0503			
			903,03	180,3756	15,05043			
			903,04	180,3684	15,0506			
			903,05	180,3621	15,05077			
			903,06	180,3581	15,05097			
			903,07	180,3621	15,05113			
			903,08	180,3684	15,05133			
			903,09	180,3732	15,0515			
			903,1	180,3795	15,05163			
			903,11	180,3891	15,0518			
			903,12	180,3954	15,05197			
			903,13	180,3994	15,05213			
			903,14	180,4002	15,0523			
			903,15	180,405	15,05247			
			903,16	180,4113	15,05263			
			903,17	180,4201	15,0528			
			903,18	180,432	15,05297			
			903,19	180,4423	15,05313			
			903,2	180,4447	15,0533			
			903,21	180,4408	15,05347			
			903,22	180,4399	15,05363			
			903,23	180,4447	15,0538			
			903,24	180,4511	15,054			
			903,25	180,4535	15,05417			
			903,26	180,4519	15,0543			
			903,27	180,4535	15,05447			
			903,28	180,4558	15,05463			
			903,29	180,4582	15,0548			
			903,3	180,4606	15,05497			
			903,31	180,4646	15,05513			
			903,32	180,4678	15,0553			
			903,33	180,4654	15,0555			
			903,34	180,4646	15,05567			
			903,35	180,4678	15,05583			
			903,36	180,4741	15,05597			
			903,37	180,4765	15,05613			
			903,38	180,4765	15,0563			
			903,39	180,4781	15,05647			
			903,4	180,4789	15,05663			
			903,41	180,4805	15,05683			
			903,42	180,486	15,057			
			903,43	180,4948	15,05717			
			903,44	180,4972	15,0573			
			903,45	180,4972	15,05743			
			903,46	180,5011	15,05763			
			903,47	180,5075	15,0578			
			903,48	180,5146	15,05797			
			903,49	180,521	15,0581			
			903,5	180,5282	15,05827			
			903,51	180,5329	15,05847			
			903,52	180,5329	15,05863			
			903,53	180,5329	15,0588			
			903,54	180,5369	15,05897			
			903,55	180,5457	15,05913			
			903,56	180,5544	15,0593			
			903,57	180,5592	15,05947			
			903,58	180,5592	15,05963			
			903,59	180,5552	15,0598			
			903,6	180,552	15,05997			
			903,61	180,5488	15,06013			
			903,62	180,5488	15,0603			
			903,63	180,5544	15,06047			
			903,64	180,5615	15,06063			
			903,65	180,5687	15,0608			
			903,66	180,5774	15,06097			
			903,67	180,5862	15,06113			
			903,68	180,5886	15,0613			
			903,69	180,5901	15,06147			
			903,7	180,5981	15,06167			
			903,71	180,6084	15,0618			
			903,72	180,6068	15,062			
			903,73	180,5997	15,06217			
			903,74	180,5933	15,06233			
			903,75	180,5909	15,0625			
			903,76	180,5933	15,0627			
			903,77	180,6021	15,06283			
			903,78	180,6108	15,06303			
			903,79	180,614	15,0632			
			903,8	180,6196	15,06333			
			903,81	180,6267	15,0635			
			903,82	180,6339	15,06367			
			903,83	180,6378	15,0638			
			903,84	180,6362	15,06397			
			903,85	180,6355	15,06413			
			903,86	180,6378	15,06433			
			903,87	180,6418	15,0645			
			903,88	180,6442	15,06467			
			903,89	180,6474	15,06483			
			903,9	180,6537	15,06497			
			903,91	180,6609	15,06513			
			903,92	180,6664	15,0653			
			903,93	180,6672	15,0655			
			903,94	180,6688	15,06563			
			903,95	180,6712	15,0658			
			903,96	180,6744	15,06597			
			903,97	180,6784	15,06613			
			903,98	180,6831	15,0663			
			903,99	180,6871	15,0665			
			904	180,6935	15,06663			
			904,01	180,7014	15,0668			
			904,02	180,7078	15,067			
			904,03	180,7094	15,06717			
			904,04	180,7078	15,06733			
			904,05	180,7094	15,0675			
			904,06	180,7117	15,06763			
			904,07	180,7117	15,0678			
			904,08	180,7046	15,06797			
			904,09	180,699	15,06813			
			904,1	180,7046	15,0683			
			904,11	180,7189	15,06847			
			904,12	180,7316	15,06863			
			904,13	180,7388	15,0688			
			904,14	180,7451	15,06897			
			904,15	180,7475	15,06917			
			904,16	180,7459	15,0693			
			904,17	180,7419	15,06947			
			904,18	180,7419	15,06963			
			904,19	180,7451	15,0698			
			904,2	180,7475	15,06997			
			904,21	180,7531	15,07017			
			904,22	180,7586	15,0703			
			904,23	180,7642	15,07047			
			904,24	180,7721	15,07067			
			904,25	180,7817	15,07083			
			904,26	180,7888	15,07097			
			904,27	180,7944	15,07113			
			904,28	180,7976	15,0713			
			904,29	180,8015	15,0715			
			904,3	180,8015	15,07167			
			904,31	180,8015	15,07183			
			904,32	180,8023	15,07197			
			904,33	180,8103	15,07213			
			904,34	180,8238	15,07227			
			904,35	180,8373	15,07243			
			904,36	180,8445	15,07267			
			904,37	180,8468	15,07283			
			904,38	180,8508	15,073			
			904,39	180,8532	15,07317			
			904,4	180,8556	15,0733			
			904,41	180,858	15,0735			
			904,42	180,862	15,07367			
			904,43	180,8651	15,07383			
			904,44	180,8691	15,074			
			904,45	180,8739	15,07417			
			904,46	180,8786	15,0743			
			904,47	180,8826	15,07447			
			904,48	180,8866	15,07467			
			904,49	180,8898	15,07483			
			904,5	180,8922	15,075			
			904,51	180,8937	15,07513			
			904,52	180,8977	15,0753			
			904,53	180,9025	15,07547			
			904,54	180,9096	15,0756			
			904,55	180,9168	15,07577			
			904,56	180,9247	15,07593			
			904,57	180,9247	15,07617			
			904,58	180,9208	15,07633			
			904,59	180,9184	15,0765			
			904,6	180,9192	15,07667			
			904,61	180,9271	15,07683			
			904,62	180,939	15,07703			
			904,63	180,9518	15,07717			
			904,64	180,9565	15,07733			
			904,65	180,9541	15,0775			
			904,66	180,9541	15,07763			
			904,67	180,9605	15,07783			
			904,68	180,9684	15,07803			
			904,69	180,9764	15,0782			
			904,7	180,9859	15,07833			
			904,71	180,9955	15,0785			
			904,72	181,0034	15,07867			
			904,73	181,0058	15,07883			
			904,74	181,0058	15,079			
			904,75	181,0058	15,0792			
			904,76	181,0066	15,07933			
			904,77	181,0121	15,0795			
			904,78	181,0225	15,07963			
			904,79	181,0312	15,0798			
			904,8	181,0288	15,07997			
			904,81	181,0193	15,08017			
			904,82	181,0121	15,08033			
			904,83	181,0106	15,0805			
			904,84	181,013	15,08067			
			904,85	181,0177	15,08083			
			904,86	181,0265	15,08097			
			904,87	181,0352	15,08113			
			904,88	181,04	15,0813			
			904,89	181,0376	15,0815			
			904,9	181,0336	15,08167			
			904,91	181,0376	15,08183			
			904,92	181,0487	15,08197			
			904,93	181,0606	15,08217			
			904,94	181,0662	15,08233			
			904,95	181,0622	15,0825			
			904,96	181,0582	15,08267			
