Имя испытания	Режим испытания	Тип испытания	Заголовок1	Комментарий1	Ключвое слово	Наименование продукта	Имя файла испытания	Имя файла метода	Дата отчета	Дата испытания	Режим испытания	Тип испытания	Скорость	Форма	Серия:	Части серии:
4stud_сжатие+изг.xtas	Одиночный	На сжатие	Заголовок	Комментарий	 	 	4stud_сжатие+изг.xtas	4stud_сжатие.xmas	29.04.2015	26.04.2015	Одиночный	На сжатие	3мм/мин	Плоская	1	11

Форма:	Серия:	Часть серии:
Плоская	1	11
Имя	Толщина	Ширина	Высота
Размерность:	мм	мм	мм
1 ¦	8,0500	9,5000	25,2000
2 ¦	8,0000	9,5000	25,1500
3 ¦	8,2200	9,5000	24,8500
1 - (_6,5мм)	8,0000	9,5000	19,1500
2 -	8,0500	9,5000	19,1000
3 -	8,2000	9,5000	19,1500
1 ? (_9,5мм)	6,1200	8,0300	9,5000
2 ?	6,2000	8,0000	9,5000
3 ?	6,1800	7,9500	9,5000
1 ¦ (+16мм)	8,0500	9,5000	25,2000
изгиб 1 (—мм)	1,9000	9,5000	22,3000

Имя	Модуль_упругости	Макс_Сила	Макс_Ход	Разрыв_Сила	Разрыв_Ход
Параметр	Сила 1000 - 2000 Н	Расчет во всех областях	Расчет во всех областях	Чувствительность: 10	Чувствительность: 10
Единица	Н/мм2	Н	мм	Н	мм
1 ¦	1606,06	5004,86	1,64900	-.-	-.-
2 ¦	1585,42	4995,78	1,66980	-.-	-.-
3 ¦	1505,75	4997,48	2,03493	-.-	-.-
1 - (_6,5мм)	1325,98	5002,30	1,08997	-.-	-.-
2 -	1348,23	4996,56	1,09977	-.-	-.-
3 -	1324,82	4848,27	1,04893	-.-	-.-
1 ? (_9,5мм)	1256,24	4837,67	1,09480	-.-	-.-
2 ?	1240,90	4802,49	1,08993	-.-	-.-
3 ?	1249,35	4792,87	1,09480	-.-	-.-
1 ¦ (+16мм)	1588,07	4807,05	1,61383	-.-	-.-
изгиб 1 (—мм)	2213,66(100-1000)	1201,67	1,15983	1166,16	1,17987

1 ¦			2 ¦			3 ¦			1 - (_6,5мм)			2 -			3 -			1 ? (_9,5мм)			2 ?			3 ?			1 ¦ (+16мм)			изгиб 1 (—мм)		
Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход
сек	Н	мм	сек	Н	мм	сек	Н	мм	сек	Н	мм	сек	Н	мм	сек	Н	мм	сек	Н	мм	сек	Н	мм	сек	Н	мм	сек	Н	мм	сек	Н	мм
0	0,03417333	3,333333E-05	0	0,0007947286	3,333333E-05	0	0,0055631	3,333333E-05	0	-0,03019969	0	0	0,007152557	3,333333E-05	0	-0,0007947286	0	0	-0,003973643	0	0	-0,008742015	3,333333E-05	0	0,007152557	3,333333E-05	0	-0,006357829	0	0	0,02384186	0
0,1	0,02940496	0,004766667	0,1	0,01827876	0,004733333	0,1	0,0007947286	0,004733333	0,1	-0,02145767	0,004733333	0,1	-0,003973643	0,004766667	0,1	-0,01271566	0,004733333	0,1	-0,0007947286	0,004733333	0,1	-0,02622604	0,004733333	0,1	0,0166893	0,004733333	0,1	0,007947286	0,004666667	0,1	0,02145767	0,004733333
0,2	0,02304713	0,009866667	0,2	0,01430511	0,0097	0,2	0,01907349	0,009733333	0,2	-0,03258387	0,009833333	0,2	-0,0222524	0,0097	0,2	-0,01271566	0,0097	0,2	0,01430511	0,0097	0,2	-0,03496806	0,009766667	0,2	0,0166893	0,009733333	0,2	-0,0166893	0,009666666	0,2	0,0007947286	0,009866667
0,3	0,04053116	0,01483333	0,3	-0,008742015	0,01476667	0,3	0,02066294	0,01473333	0,3	-0,0055631	0,01483333	0,3	-0,0007947286	0,01476667	0,3	0,0055631	0,0148	0,3	0,01430511	0,01476667	0,3	0,002384186	0,01476667	0,3	0,02066294	0,01476667	0,3	0,01430511	0,0147	0,3	0,02940496	0,0149
0,4	0,03735225	0,0199	0,4	-0,003973643	0,01983333	0,4	0,03019969	0,01986667	0,4	-0,02622604	0,01983333	0,4	-0,03019969	0,01983333	0,4	-0,007947286	0,01986667	0,4	-0,003178914	0,01983333	0,4	-0,01907349	0,01983333	0,4	-0,001589457	0,01983333	0,4	0,01907349	0,01986667	0,4	-0,003973643	0,01983333
0,5	0,02940496	0,02486667	0,5	0,0166893	0,02486667	0,5	0,03019969	0,02483333	0,5	-0,01271566	0,02486667	0,5	-0,02861023	0,0248	0,5	-0,001589457	0,02486667	0,5	-0,01271566	0,02483333	0,5	-0,0007947286	0,02486667	0,5	0,02940496	0,02486667	0,5	0,01430511	0,02483333	0,5	0,004768372	0,0249
0,6	0,03496806	0,02986667	0,6	-0,0007947286	0,02983333	0,6	0,01589457	0,02983333	0,6	-0,03019969	0,02986667	0,6	-0,003973643	0,02983333	0,6	-0,01033147	0,02986667	0,6	-0,02622604	0,02986667	0,6	-0,01509984	0,02986667	0,6	0,0278155	0,02983333	0,6	0,009536743	0,02983333	0,6	0,01192093	0,02983333
0,7	0,04132589	0,0349	0,7	0,007947286	0,0349	0,7	-0,003178914	0,0349	0,7	-0,03099442	0,03486667	0,7	0,0055631	0,03486667	0,7	0,0500679	0,03486667	0,7	-0,01430511	0,03486667	0,7	-0,008742015	0,03486667	0,7	0,01033147	0,0349	0,7	-0,01271566	0,03486667	0,7	0,01907349	0,03483333
