1 _ 1			1 _ 2			1 _ 3			1 _ 4			1 _ 5			1 _ 6		
Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход
сек	Н	мм	сек	Н	мм	сек	Н	мм	сек	Н	мм	сек	Н	мм	сек	Н	мм
0	193,8725	0,0001333333	0	0,418822	0,0001	0	-9,550254	0,0001666667	0	-10,21862	0,0001333333	0	-10,58261	0,0002	0	-8,565585	0,0001666667
0,1	193,917	0,002233333	0,1	0,4680952	0,0022	0,1	-9,475549	0,002133333	0,1	-10,14233	0,002166667	0,1	-10,49678	0,002166667	0,1	-8,486907	0,002166667
0,2	194,3374	0,0039	0,2	1,900991	0,0039	0,2	-7,867018	0,0039	0,2	-8,509159	0,0039	0,2	-8,808772	0,0039	0,2	-6,868044	0,003933333
0,3	194,5829	0,005366667	0,3	4,365444	0,005466667	0,3	-4,835129	0,005466667	0,3	-5,531311	0,005433334	0,3	-5,815824	0,005466667	0,3	-4,018148	0,005466667
0,4	195,4404	0,007166667	0,4	5,135536	0,007166667	0,4	-4,007021	0,007133333	0,4	-4,727046	0,007133333	0,4	-4,998843	0,007166667	0,4	-3,201962	0,0072
0,5	199,492	0,008866667	0,5	8,503596	0,0089	0,5	-1,197656	0,008833334	0,5	-1,80165	0,008866667	0,5	-2,020995	0,008866667	0,5	-0,05960464	0,008866667
0,6	205,4016	0,01056667	0,6	14,47519	0,01053333	0,6	4,62532	0,01053333	0,6	4,107157	0,01056667	0,6	3,906091	0,01053333	0,6	5,832513	0,01056667
0,7	211,5393	0,01223333	0,7	20,81951	0,01223333	0,7	11,01494	0,01223333	0,7	10,44512	0,01223333	0,7	10,29412	0,01223333	0,7	12,25154	0,01223333
0,8	217,9154	0,0139	0,8	27,26873	0,0139	0,8	17,4729	0,0139	0,8	16,90308	0,01393333	0,8	16,84904	0,0139	0,8	18,75401	0,01393333
0,9	224,3114	0,01556667	0,9	33,74974	0,01563333	0,9	24,01908	0,01563333	0,9	23,47151	0,0156	0,9	23,41906	0,01556667	0,9	25,25806	0,01563333
1	230,7463	0,0172	1	40,25221	0,0173	1	30,57639	0,01723333	1	30,03597	0,01723333	1	29,94299	0,0173	1	31,82411	0,01723333
1,1	237,1327	0,01893333	1,1	46,78488	0,01896667	1,1	37,19648	0,01893333	1,1	36,55275	0,01893333	1,1	36,4844	0,0189	1,1	38,35917	0,01893333
1,2	243,4818	0,02056667	1,2	53,23172	0,02056667	1,2	43,66557	0,02056667	1,2	43,07588	0,02056667	1,2	43,03138	0,02063333	1,2	44,84415	0,0206
1,3	249,8595	0,02226667	1,3	59,67776	0,0223	1,3	50,14181	0,02226667	1,3	49,5704	0,02223333	1,3	49,53782	0,02223333	1,3	51,42053	0,02223333
1,4	256,2411	0,02393333	1,4	66,13731	0,02393333	1,4	56,6117	0,0239	1,4	56,08241	0,02393333	1,4	56,07049	0,02393333	1,4	57,89916	0,02393333
1,5	262,7047	0,0256	1,5	72,62548	0,0256	1,5	63,1237	0,02556667	1,5	62,55786	0,02556667	1,5	62,53004	0,0256	1,5	64,40083	0,0256
1,6	269,0554	0,02726667	1,6	79,07232	0,0273	1,6	69,55385	0,02726667	1,6	69,05079	0,02726667	1,6	69,05238	0,02723333	1,6	70,91522	0,02726667
1,7	275,3814	0,02893333	1,7	85,60022	0,02893333	1,7	76,07222	0,0289	1,7	75,55405	0,02893333	1,7	75,57471	0,02893333	1,7	77,4169	0,02893333
1,8	281,6908	0,03056667	1,8	92,1599	0,03063333	1,8	82,61601	0,0306	1,8	82,08593	0,03063333	1,8	82,09705	0,03056667	1,8	83,98772	0,0306
1,9	287,9858	0,03223334	1,9	98,71245	0,03226667	1,9	89,16696	0,03223334	1,9	88,62177	0,03226667	1,9	88,64959	0,03223334	1,9	90,52197	0,03226667
2	294,2801	0,0339	2	105,2745	0,03393333	2	95,76003	0,03393333	2	95,20054	0,0339	2	95,19895	0,0339	2	97,15239	0,03393333
