16.11.2011  13:2:20
Смещение	Сила	Угол	Момент
-53,323	0	0	0,6
-53,323	0	0	0,6
-53,323	0	0	0,6
-53,323	0	0	0,6
-53,323	0	0	0,6
-53,323	0	0	0,6
-53,323	0	0	0,6
-53,323	0	0	0,6
-53,323	0	0	0,6
-53,323	0	0	0,6
-53,323	0	0	0,6
-53,323	0	0	0,6
-53,323	0	0	0,6
-53,323	0	0	0,6
-53,323	0	0	0,6
-53,323	0	0	0,6
-53,323	0	0	0,6
-53,323	0	0	0,6
-53,323	10	0	0,6
-53,323	0	0	0,6
-53,323	0	0	0,6
-53,323	0	0	0,6
-53,323	0	0	0,6
-53,323	0	0	0,6
-53,323	0	0	0,6
-53,323	0	0	0,6
-53,323	0	0	0,6
-53,323	0	0	0,6
-53,323	0	0	0,6
-53,323	0	0	0,6
-53,323	0	0	0,6
-53,323	0	0	0,6
-53,323	0	0	0,6
-53,323	0	0	0,6
-53,323	0	0	0,6
-53,323	0	0	0,6
-53,323	0	0	0,6
-53,323	0	0	0,6
-53,323	0	0	0,6
-53,323	0	0	0,6
-53,323	0	0	0,6
-53,323	0	0	0,6
-53,323	0	0	0,6
-53,323	0	0	0,6
-53,323	0	0	0,6
-53,323	0	0	0,6
-53,323	0	0	0,6
-53,323	0	0	0,6
-53,323	0	0	0,6
-53,323	0	0	0,6
-53,319	0	0	0,6
-53,311	0	0	0,6
-53,302	0	0	0,6
-53,294	0	0	0,6
-53,286	0	0	0,6
-53,278	0	0	0,6
-53,269	0	0	0,6
-53,261	0	0	0,6
-53,253	0	0	0,6
-53,244	0	0	0,6
-53,236	0	0	0,6
-53,227	0	0	0,6
-53,219	0	0	0,6
-53,211	0	0	0,6
-53,202	0	0	0,6
-53,194	0	0	0,6
-53,185	0	0	0,6
-53,177	0	0	0,6
-53,168	0	0	0,6
-53,16	0	0	0,6
-53,152	0	0	0,6
-53,144	0	0	0,6
-53,135	0	0	0,6
-53,126	0	0	0,6
-53,117	0	0	0,6
-53,11	0	0	0,6
-53,101	0	0	0,6
-53,093	0	0	0,6
-53,085	0	0	0,6
-53,076	0	0	0,6
-53,068	0	0	0,6
-53,06	0	0	0,6
-53,051	0	0	0,6
-53,042	0	0	0,6
-53,034	0	0	0,6
-53,026	0	0	0,6
-53,018	0	0	0,6
-53,009	0	0	0,6
-53,001	0	0	0,6
-52,993	0	0	0,6
-52,985	0	0	0,6
-52,975	0	0	0,6
-52,967	0	0	0,6
-52,959	0	0	0,6
-52,95	0	0	0,6
-52,942	0	0	0,6
-52,934	0	0	0,6
-52,926	0	0	0,6
-52,916	0	0	0,6
-52,908	0	0	0,6
-52,9	0	0	0,5
-52,891	0	0	0,6
-52,883	0	0	0,6
-52,875	0	0	0,6
-52,865	0	0	0,6
-52,857	0	0	0,6
-52,849	0	0	0,6
-52,841	0	0	0,6
-52,832	0	0	0,6
-52,824	0	0	0,6
-52,815	0	0	0,6
-52,806	0	0	0,6
-52,798	0	0	0,6
-52,79	0	0	0,6
-52,782	0	0	0,6
-52,774	0	0	0,6
-52,765	10	0	0,6
-52,756	0	0	0,6
-52,747	0	0	0,6
-52,739	0	0	0,5
-52,731	0	0	0,6
-52,723	0	0	0,6
-52,715	0	0	0,6
-52,705	0	0	0,6
-52,697	0	0	0,6
-52,688	0	0	0,6
-52,68	0	0	0,6
-52,672	0	0	0,6
-52,664	0	0	0,6
-52,656	0	0	0,6
-52,646	0	0	0,6
-52,638	0	0	0,6
-52,63	0	0	0,6
-52,621	0	0	0,6
-52,613	0	0	0,6
-52,605	0	0	0,6
-52,595	0	0	0,6
-52,587	0	0	0,6
-52,579	0	0	0,6
-52,571	0	0	0,6
-52,562	0	0	0,6
-52,554	0	0	0,6
-52,544	0	0	0,5
-52,536	0	0	0,6
-52,528	0	0	0,6
-52,52	0	0	0,6
-52,512	0	0	0,6
-52,503	0	0	0,6
-52,495	0	0	0,6
-52,485	0	0	0,6
-52,478	0	0	0,6
-52,469	0	0	0,6
-52,461	0	0	0,6
-52,453	0	0	0,6
-52,445	0	0	0,6
-52,435	0	0	0,6
-52,427	0	0	0,6
-52,418	0	0	0,6
