"1 _ 1",,,
"Время","Сила","Ход","Экст.1"
"сек","Н","мм","мм"
"0","-0,003973643","6,666667E-05","0"
"0,01","-0,008742015","0,0022","0"
"0,02","-0,01509984","0,009233333","0"
"0,03","-0,01430511","0,0214","-0,02415975"
"0,04","0,003178914","0,03903333","-0,01653036"
"0,05","0,04768372","0,0617","-0,01653036"
"0,06","0,1064936","0,08876666","-0,00890096"
"0,07","0,1509984","0,1207","0"
"0,08","0,1692772","0,1578333","0"
"0,09","0,175635","0,1997333","0"
"0,1","0,1978874","0,2467333","0"
"0,11","0,2415975","0,2984667","0"
"0,12","0,2948443","0,3553667","0"
"0,13","0,3377596","0,4172333","0"
"0,14","0,3759066","0,4841","0"
"0,15","0,4299482","0,5557","0"
"0,16","0,5038579","0,6322333","0"
"0,17","0,5841255","0,7136","0,007629395"
"0,18","0,6604195","0,8002","0"
"0,19","0,743866","0,8920667","0"
"0,2","0,8209546","0,9891667","0,1029968"
"0,21","0,8757909","1,090967","0,1653035"
"0,22","0,9298325","1,197633","0,1653035"
"0,23","1,013279","1,308933","0,2683004"
"0,24","1,130104","1,425433","0,3560384"
"0,25","1,256466","1,547133","0,3166199"
"0,26","1,372496","1,6742","0,3560384"
"0,27","1,479785","1,806033","0,4590352"
"0,28","1,606146","1,9423","0,5226135"
"0,29","1,767476","2,083967","0,5226135"
"0,3","1,943111","2,230867","0,6484985"
"0,31","2,090931","2,383","0,743866"
"0,32","2,180735","2,539467","0,743866"
"0,33","2,244313","2,7008","0,743866"
"0,34","2,351602","2,8659","0,7362366"
"0,35","2,512932","3,031633","0,8633931"
"0,36","2,676646","3,196967","0,9346008"
"0,37","2,800624","3,363033","1,013438"
"0,38","2,89758","3,529633","1,092275"
"0,39","3,005664","3,695767","1,155853"
"0,4","3,147125","3,861933","1,227061"
"0,41","3,310045","4,028733","1,227061"
"0,42","3,434022","4,195434","1,338959"
"0,43","3,480911","4,361867","1,386007"
"0,44","3,503958","4,5285","1,464844"
"0,45","3,590584","4,695267","1,513163"
"0,46","3,745556","4,861933","1,513163"
"0,47","3,896554","5,028467","1,639048"
"0,48","3,985564","5,195133","1,758575"
"0,49","4,038016","5,362","1,758575"
"0,5","4,140536","5,5284","1,861572"
"0,51","4,318555","5,6949","1,925151"
"0,52","4,506906","5,861867","1,925151"
"0,53","4,643599","6,028666","2,019246"
"0,54","4,731019","6,194933","2,090454"
"0,55","4,810492","6,361733","2,209981"
"0,56","4,924933","6,528667","2,288818"
"0,57","5,068779","6,6951","2,288818"
"0,58","5,190372","6,861767","2,288818"
"0,59","5,259514","7,028733","2,384186"
"0,6","5,315939","7,1953","2,58255"
"0,61","5,416075","7,361633","2,637227"
"0,62","5,571047","7,528467","2,749125"
"0,63","5,735556","7,695233","2,717336"
"0,64","5,853971","7,8618","2,756755"
"0,65","5,926291","8,028434","2,811432"
"0,66","6,011327","8,195167","2,811432"
"0,67","6,14802","8,362034","2,930959"
"0,68","6,301403","8,528533","3,097534"
"0,69","6,402334","8,695033","3,136953"
"0,7","6,415844","8,8619","3,295898"
"0,71","6,409486","9,028467","3,389994"
"0,72","6,476243","9,194901","3,477732"
"0,73","6,610552","9,361834","3,453573"
"0,74","6,750425","9,528733","3,389994"
"0,75","6,874403","9,695","3,398895"
"0,76","6,988049","9,861633","3,477732"
"0,77","7,1009","10,02863","3,533681"
"0,78","7,219315","10,1951","3,659566"
"0,79","7,313887","10,3617","3,730774"
"0,8","7,354418","10,52857","3,826141"
"0,81","7,363161","10,6953","3,968557"
"0,82","7,396539","10,86173","4,016876"
"0,83","7,481575","11,02837","4,016876"
"0,84","7,587274","11,19513","4,142761"
"0,85","7,665952","11,36183","4,22287"
"0,86","7,720788","11,5284","4,230499"
"0,87","7,801056","11,6951","4,230499"
"0,88","7,937749","11,862","4,333496"
"0,89","8,08398","12,0285","4,397074"
"0,9","8,189678","12,1949","4,419962"
"0,91","8,25882","12,3619","4,483541"
"0,92","8,320014","12,5287","4,53186"
"0,93","8,393924","12,69513","4,53949"
"0,94","8,485317","12,8619","4,650116"
"0,95","8,555253","13,02877","4,706065"
"0,96","8,582274","13,19507","4,840851"
"0,97","8,595784","13,3617","4,919688"
"0,98","8,647442","13,5287","5,054474"
"0,99","8,761883","13,69527","5,149841"
"1","8,909702","13,86173","5,14094"
"1,01","9,00666","14,0285","5,228678"
"1,02","9,034474","14,19527","5,275726"
"1,03","9,064674","14,36187","5,395254"
"1,04","9,143353","14,52837","5,48172"
"1,05","9,249846","14,6951","5,593618"
"1,06","9,343624","14,8618","5,672455"
"1,07","9,391308","15,0284","5,680084"
"1,08","9,404819","15,19507","5,680084"
"1,09","9,433429","15,36203","5,783081"
"1,1","9,504954","15,52857","5,83903"
"1,11","9,597142","15,69487","5,830129"
"1,12","9,673436","15,86177","5,854289"
"1,13","9,716352","16,0286","5,854289"
"1,14","9,752114","16,1949","5,933126"
"1,15","9,815693","16,36163","6,099701"
"1,16","9,898345","16,52863","6,170908"
"1,17","9,976228","16,69517","6,298065"
"1,18","10,05252","16,8617","6,369273"
"1,19","10,12961","17,02857","6,369273"
"1,2","10,21544","17,1952","6,376902"
"1,21","10,32432","17,36167","6,376902"
"1,22","10,4483","17,52847","6,376902"
"1,23","10,55797","17,6953","6,440481"
"1,24","10,61201","17,86193","6,646474"
"1,25","10,61916","18,02843","6,726583"
"1,26","10,63903","18,19507","6,820679"
"1,27","10,70499","18,36197","6,884257"
"1,28","10,7789","18,5286","7,003784"
"1,29","10,81149","18,69513","7,074992"
"1,3","10,80751","18,86197","7,067362"
"1,31","10,81149","19,02863","7,193247"
"1,32","10,86314","19,19497","7,280985"
"1,33","10,9609","19,3618","7,280985"
"1,34","11,06103","19,52863","7,383982"
"1,35","11,12461","19,69493","7,447561"
"1,36","11,1707","19,86163","7,45519"
"1,37","11,21442","20,02863","7,573446"
"1,38","11,2772","20,19527","7,653554"
"1,39","11,35747","20,3617","7,629395"
"1,4","11,40992","20,5284","7,740021"
"1,41","11,40912","20,69513","7,906596"
"1,42","11,40436","20,8618","7,977804"
"1,43","11,4584","21,02857","7,977804"
"1,44","11,56251","21,19527","7,977804"
"1,45","11,65469","21,36197","7,977804"
"1,46","11,70794","21,52837","8,0808"
"1,47","11,73735","21,69497","8,144379"
"1,48","11,789","21,8619","8,152008"
"1,49","11,88517","22,0285","8,230845"
"1,5","11,98212","22,19493","8,413951"
"1,51","12,03537","22,36183","8,492787"
"1,52","12,0465","22,52873","8,580525"
"1,53","12,06239","22,69507","8,659363"
"1,54","12,11484","22,86177","8,659363"
"1,55","12,17763","23,02863","8,635203"
"1,56","12,2261","23,19507","8,651733"
"1,57","12,28015","23,36177","8,651733"
"1,58","12,35882","23,5287","8,76236"
"1,59","12,46293","23,69533","8,809407"
"1,6","12,57261","23,86177","8,825938"
"1,61","12,63777","24,02847","8,951823"
"1,62","12,63539","24,1952","9,127299"
"1,63","12,61234","24,36187","9,198506"
"1,64","12,64016","24,52843","9,189606"
"1,65","12,71645","24,6951","9,292603"
"1,66","12,78321","24,86197","9,363811"
"1,67","12,80626","25,02843","9,372711"
"1,68","12,79751","25,1949","9,459178"
"1,69","12,80626","25,36183","9,515126"
"1,7","12,86666","25,52837","9,618123"
"1,71","12,95487","25,69487","9,689331"
"1,72","13,02878","25,86177","9,689331"
"1,73","13,07567","26,02873","9,807587"
"1,74","13,11382","26,1951","9,895325"
"1,75","13,17183","26,3617","9,871165"
"1,76","13,25448","26,52857","9,887695"
"1,77","13,3427","26,69517","10,04537"
"1,78","13,40946","26,86177","10,14074"
"1,79","13,43489","27,02857","10,22847"
"1,8","13,44204","27,19527","10,29205"
"1,81","13,4635","27,36183","10,37089"
"1,82","13,50482","27,52843","10,4421"
"1,83","13,5541","27,6952","10,4421"
"1,84","13,58112","27,86193","10,4421"
"1,85","13,58112","28,02843","10,55272"
"1,86","13,60337","28,195","10,64046"
"1,87","13,68125","28,36197","10,64046"
"1,88","13,79808","28,52863","10,62393"
"1,89","13,91729","28,69503","10,73456"
"1,9","13,98961","28,86187","10,79051"
"1,91","14,00471","29,0286","10,91003"
"1,92","14,01583","29,195","10,98124"
"1,93","14,06511","29,36177","10,98124"
"1,94","14,12868","29,5287","10,98887"
"1,95","14,16683","29,6951","11,06771"
"1,96","14,18193","29,86163","11,16308"
"1,97","14,18432","30,0286","11,25844"
"1,98","14,19385","30,1952","11,43265"
"1,99","14,22485","30,3617","11,58269"
"2","14,26061","30,52843","11,64627"
"2,01","14,28525","30,69523","11,64627"
"2,02","14,32896","30,8619","11,74164"
"2,03","14,40446","31,02847","11,70222"
"2,04","14,48075","31,1951","11,64627"
"2,05","14,5491","31,36183","11,64627"
"2,06","14,6087","31,5284","11,64627"
"2,07","14,65003","31,69503","11,74927"
"2,08","14,68023","31,862","11,81285"
"2,09","14,69851","32,02867","11,92347"
"2,1","14,70168","32,19497","12,08242"
"2,11","14,70327","32,36177","12,15363"
"2,12","14,71519","32,52867","12,25662"
"2,13","14,75016","32,6951","12,32783"
"2,14","14,81771","32,86184","12,32783"
"2,15","14,89003","33,02873","12,30367"
"2,16","14,93851","33,19523","12,32783"
"2,17","14,98461","33,36173","12,32783"
"2,18","15,06726","33,5286","12,32783"
"2,19","15,1817","33,69527","12,32783"
"2,2","15,28502","33,86177","12,45499"
"2,21","15,32316","34,0284","12,67624"
"2,22","15,28104","34,19517","12,85044"
"2,23","15,2262","34,36197","13,02465"
"2,24","15,23574","34,52847","13,09586"
"2,25","15,29614","34,695","13,19122"
"2,26","15,3319","34,8619","13,26243"
"2,27","15,31919","35,0285","13,26243"
"2,28","15,30091","35,19487","13,26243"
"2,29","15,32475","35,36167","13,26243"
"2,3","15,40899","35,52843","13,26243"
"2,31","15,52502","35,69483","13,26243"
"2,32","15,60132","35,86167","13,26243"
"2,33","15,61562","36,02863","13,38196"
"2,34","15,62436","36,19503","13,44426"
"2,35","15,66728","36,3616","13,55616"
"2,36","15,72768","36,52847","13,78504"
"2,37","15,76344","36,69517","13,9122"
"2,38","15,74516","36,86173","13,97578"
"2,39","15,72291","37,0285","13,97578"
"2,4","15,76026","37,19513","13,97578"
"2,41","15,83894","37,3618","13,98341"
"2,42","15,92875","37,52857","13,97578"
"2,43","16,00583","37,69527","13,97578"
"2,44","16,04875","37,86207","13,99104"
"2,45","16,06782","38,0285","14,07878"
"2,46","16,11074","38,195","14,27714"
"2,47","16,19657","38,36197","14,35598"
"2,48","16,27525","38,52863","14,35598"
"2,49","16,30624","38,69507","14,42719"
"2,5","16,29035","38,86184","14,4666"
"2,51","16,26333","39,0287","14,57723"
"2,52","16,27922","39,1951","14,63318"
"2,53","16,33326","39,36177","14,63318"
"2,54","16,37618","39,52867","14,64081"
"2,55","16,40479","39,6951","14,72092"
"2,56","16,43737","39,8617","14,78322"
"2,57","16,47552","40,02857","14,79212"
"2,58","16,52161","40,1953","14,78322"
"2,59","16,56214","40,36184","14,89512"
"2,6","16,58519","40,52834","15,01338"
"2,61","16,59393","40,69503","15,08458"
"2,62","16,60983","40,86177","15,14053"
"2,63","16,65274","41,02843","15,14053"
"2,64","16,7044","41,19503","15,25116"
"2,65","16,74016","41,3619","15,29821"
"2,66","16,74175","41,52847","15,4012"
"2,67","16,73778","41,695","15,45715"
"2,68","16,76877","41,8619","15,45715"
"2,69","16,82361","42,02863","15,46478"
"2,7","16,87845","42,19497","15,47368"
"2,71","16,91659","42,36167","15,47368"
"2,72","16,94202","42,52863","15,59957"
"2,73","17,00004","42,69507","15,66315"
"2,74","17,08825","42,86167","15,78267"
"2,75","17,14388","43,0286","15,97214"
"2,76","17,14627","43,1952","16,0675"
"2,77","17,13912","43,36184","16,0675"
"2,78","17,16216","43,52863","16,15397"
"2,79","17,21621","43,69527","16,20229"
"2,8","17,26468","43,8618","16,21755"
