"Имя испытания","Режим испытания","Тип испытания","Заголовок1","Комментарий1","Ключвое слово","Наименование продукта","Имя файла испытания","Имя файла метода","Дата отчета","Дата испытания","Режим испытания","Тип испытания","Скорость","Форма","Серия:","Части серии:"
"Стеклопластик_2013-11-19_ц5-2.xtas","Контрольный","Растяжение","Заголовок","Комментарий"," "," ","Стеклопластик_2013-11-19_ц5-2.xtas","Стеклопластик_ц5.xmas","19.11.2013","19.11.2013","Контрольный","Растяжение","1мм/мин","Плоская","1","1"

"Форма:","Серия:","Часть серии:"
"Плоская","1","1"
"Имя","Толщина","Ширина","Длина базы измерения"
"Размерность:","мм","мм","мм"
"1 _ 1","1,3000","40,1000","110,0000"

"Имя"
"Параметр"
"Единица"
"1 _ 1"

"1 _ 1",
"Время","Сила","Ход"
"сек","Н","мм"
"0","0,8893013","0"
"0,01","0,881354","0"
"0,02","0,8765857","3,333333E-05"
"0,03","0,8757909","6,666667E-05"
"0,04","0,8757909","0,0001333333"
"0,05","0,8765857","0,0002333333"
"0,06","0,8781751","0,0004"
"0,07","0,8829435","0,0006"
"0,08","0,8837382","0,0008666667"
"0,09","0,8805593","0,001166667"
"0,1","0,8789698","0,001366667"
"0,11","0,890096","0,001466667"
"0,12","0,9163221","0,001566667"
"0,13","0,954469","0,0017"
"0,14","1,009305","0,001866667"
"0,15","1,087189","0,002066667"
"0,16","1,195272","0,002266667"
"0,17","1,350244","0,0025"
"0,18","1,576742","0,002733333"
"0,19","1,896222","0,002966667"
"0,2","2,315839","0,003166667"
"0,21","2,805392","0,003366667"
"0,22","3,317197","0,003533333"
"0,23","3,814697","0,003733333"
"0,24","4,285971","0,0039"
"0,25","4,727046","0,004066667"
"0,26","5,133152","0,004233333"
"0,27","5,505085","0,0044"
"0,28","5,857944","0,004566667"
"0,29","6,210804","0,004733333"
"0,3","6,567637","0,0049"
"0,31","6,917318","0,005066667"
"0,32","7,251898","0,005233333"
"0,33","7,576148","0,0054"
"0,34","7,901192","0,005566667"
"0,35","8,232594","0,005766667"
"0,36","8,560817","0,005933333"
"0,37","8,881886","0,0061"
"0,38","9,203752","0,006266667"
"0,39","9,535153","0,0064"
"0,4","9,863377","0,006566667"
"0,41","10,17729","0,0067"
"0,42","10,47134","0,0069"
"0,43","10,75188","0,007066667"
"0,44","11,02606","0,007266667"
"0,45","11,29707","0,007433333"
"0,46","11,5633","0,0076"
"0,47","11,82795","0,007733333"
"0,48","12,08385","0,007900001"
"0,49","12,31511","0,008066666"
"0,5","12,50744","0,008233333"
"0,51","12,66479","0,0084"
"0,52","12,81579","0,008566666"
"0,53","12,9811","0,008733333"
"0,54","13,15037","0,0089"
"0,55","13,30296","0,009066666"
"0,56","13,42853","0,009233333"
"0,57","13,54456","0,0094"
"0,58","13,66695","0,009566667"
"0,59","13,78298","0,009733333"
"0,6","13,86563","0,0099"
"0,61","13,91252","0,01006667"
"0,62","13,94033","0,01023333"
"0,63","13,9602","0,0104"
"0,64","13,97769","0,01056667"
"0,65","13,99358","0,01073333"
"0,66","14,01027","0,0109"
"0,67","14,03173","0,01106667"
"0,68","14,05716","0,01126667"
"0,69","14,0818","0,0114"
"0,7","14,09769","0,0116"
"0,71","14,10564","0,01176667"
"0,72","14,11597","0,01193333"
"0,73","14,1422","0,0121"
"0,74","14,17557","0,01226667"
"0,75","14,19862","0,01243333"
"0,76","14,21213","0,0126"
"0,77","14,22803","0,01276667"
"0,78","14,25902","0,01293333"
"0,79","14,29478","0,0131"
"0,8","14,32339","0,01326667"
"0,81","14,34008","0,0134"
"0,82","14,35518","0,0136"
"0,83","14,37743","0,01376667"
"0,84","14,3981","0,01393333"
"0,85","14,40684","0,0141"
"0,86","14,40922","0,01426667"
"0,87","14,42115","0,0144"
"0,88","14,44817","0,01456667"
"0,89","14,4728","0,01473333"
"0,9","14,48393","0,01493333"
"0,91","14,49982","0,01506667"
"0,92","14,53002","0,01523333"
"0,93","14,55784","0,0154"
"0,94","14,56658","0,01556667"
"0,95","14,56022","0,01573333"
"0,96","14,56261","0,01593333"
"0,97","14,58168","0,0161"
"0,98","14,60711","0,01626667"
"0,99","14,63175","0,01643333"
"1","14,65559","0,0166"
"1,01","14,67466","0,01676667"
"1,02","14,69056","0,01693333"
"1,03","14,70327","0,0171"
"1,04","14,71043","0,01726667"
"1,05","14,72076","0,01743333"
"1,06","14,73983","0,0176"
"1,07","14,76447","0,0178"
"1,08","14,78593","0,01796667"
"1,09","14,79944","0,0181"
"1,1","14,80897","0,01826667"
"1,11","14,81612","0,01843333"
"1,12","14,82725","0,0186"
"1,13","14,84712","0,01876667"
"1,14","14,87335","0,0189"
"1,15","14,89003","0,01906667"
"1,16","14,90037","0,01923333"
"1,17","14,91626","0,0194"
"1,18","14,93851","0,0196"
"1,19","14,9552","0,01976667"
"1,2","14,96633","0,01993333"
"1,21","14,98143","0,0201"
"1,22","15,00209","0,02026667"
"1,23","15,02196","0,02043333"
"1,24","15,03388","0,0206"
"1,25","15,0466","0,02076667"
"1,26","15,06329","0,02093333"
"1,27","15,08554","0,02106667"
"1,28","15,107","0,02126667"
"1,29","15,12368","0,02143333"
"1,3","15,13879","0,0216"
"1,31","15,15468","0,02176667"
"1,32","15,17534","0,02196667"
"1,33","15,19918","0,0221"
"1,34","15,22144","0,02226667"
"1,35","15,2421","0,02246667"
"1,36","15,25958","0,0226"
"1,37","15,27389","0,02276667"
"1,38","15,28899","0,02293333"
"1,39","15,30329","0,02313333"
"1,4","15,31601","0,0233"
"1,41","15,33031","0,02346667"
"1,42","15,34939","0,02363333"
"1,43","15,36608","0,0238"
"1,44","15,37402","0,02393333"
"1,45","15,3772","0,0241"
"1,46","15,38356","0,02426667"
"1,47","15,39071","0,02443333"
"1,48","15,39469","0,0246"
"1,49","15,40184","0,0248"
"1,5","15,42012","0,02493333"
"1,51","15,44396","0,02513333"
"1,52","15,45986","0,0253"
"1,53","15,46701","0,02543333"
"1,54","15,47098","0,0256"
"1,55","15,47734","0,0258"
"1,56","15,48449","0,02596667"
"1,57","15,49164","0,0261"
"1,58","15,49641","0,02626667"
"1,59","15,4988","0,02643333"
"1,6","15,50039","0,0266"
"1,61","15,50198","0,0268"
"1,62","15,50436","0,02693333"
"1,63","15,50436","0,0271"
"1,64","15,50198","0,02726667"
"1,65","15,4988","0,02743333"
"1,66","15,50198","0,02756667"
"1,67","15,50754","0,02776667"
"1,68","15,50754","0,02793333"
"1,69","15,50436","0,0281"
"1,7","15,50913","0,02826667"
"1,71","15,51787","0,02843333"
"1,72","15,52343","0,0286"
"1,73","15,52105","0,02876667"
"1,74","15,51628","0,0289"
"1,75","15,51628","0,0291"
"1,76","15,52264","0,02926667"
"1,77","15,52979","0,02943333"
"1,78","15,53456","0,0296"
"1,79","15,53615","0,02976667"
"1,8","15,53456","0,02993333"
"1,81","15,53694","0,0301"
"1,82","15,5433","0,03026667"
"1,83","15,55204","0,03043333"
"1,84","15,55602","0,0306"
"1,85","15,55443","0,03076667"
"1,86","15,54807","0,03096667"
"1,87","15,54489","0,0311"
"1,88","15,5433","0,03126667"
"1,89","15,54569","0,03143333"
"1,9","15,55045","0,0316"
"1,91","15,5592","0,0318"
"1,92","15,56714","0,03196667"
"1,93","15,57032","0,03213333"
"1,94","15,56794","0,0323"
"1,95","15,56714","0,03246667"
"1,96","15,57032","0,0326"
"1,97","15,5743","0,03276667"
"1,98","15,5743","0,03293333"
"1,99","15,56953","0,03306667"
"2","15,56794","0,03323333"
"2,01","15,57748","0,03343333"
"2,02","15,59258","0,0336"
"2,03","15,6037","0,03376667"
"2,04","15,60529","0,03393333"
"2,05","15,59973","0,0341"
"2,06","15,59178","0,03426667"
"2,07","15,58304","0,0344"
"2,08","15,58145","0,0346"
"2,09","15,58781","0,03476667"
"2,1","15,59258","0,03493333"
"2,11","15,5886","0,0351"
"2,12","15,58145","0,03526667"
"2,13","15,5743","0,03543333"
"2,14","15,57032","0,0356"
"2,15","15,57271","0,03573333"
"2,16","15,58145","0,0359"
"2,17","15,59019","0,03606667"
"2,18","15,59019","0,03626667"
"2,19","15,58383","0,03646667"
"2,2","15,58304","0,0366"
"2,21","15,59019","0,03676667"
"2,22","15,59655","0,03693333"
"2,23","15,59178","0,0371"
"2,24","15,58304","0,03726667"
"2,25","15,58065","0,0374"
"2,26","15,5886","0,0376"
"2,27","15,59496","0,03776667"
"2,28","15,59416","0,03793333"
"2,29","15,58781","0,0381"
"2,3","15,58304","0,03826667"
"2,31","15,58065","0,03843333"
"2,32","15,58304","0,0386"
"2,33","15,59178","0,0388"
"2,34","15,60211","0,03893333"
"2,35","15,61483","0,0391"
"2,36","15,62198","0,03926667"
"2,37","15,6188","0,03946667"
"2,38","15,6037","0,03963333"
"2,39","15,59258","0,0398"
"2,4","15,58781","0,03996667"
"2,41","15,58542","0,0401"
"2,42","15,58622","0,04026667"
"2,43","15,59019","0,0404"
"2,44","15,59178","0,0406"
"2,45","15,59019","0,04073333"
"2,46","15,59416","0,0409"
"2,47","15,60132","0,04106667"
"2,48","15,60211","0,04126667"
"2,49","15,59973","0,04143333"
"2,5","15,59655","0,0416"
"2,51","15,59973","0,04176667"
"2,52","15,60767","0,04193334"
"2,53","15,61244","0,0421"
"2,54","15,60609","0,04226667"
"2,55","15,59734","0,04243333"
"2,56","15,59893","0,0426"
"2,57","15,60529","0,04276667"
"2,58","15,60767","0,04293333"
"2,59","15,6037","0,0431"
"2,6","15,59734","0,0433"
"2,61","15,59416","0,04343333"
"2,62","15,59178","0,0436"
"2,63","15,5886","0,04376667"
"2,64","15,58383","0,04393333"
"2,65","15,57906","0,0441"
"2,66","15,57906","0,04426667"
"2,67","15,58304","0,0444"
"2,68","15,57906","0,0446"
"2,69","15,56794","0,0448"
"2,7","15,56158","0,04493333"
"2,71","15,56555","0,0451"
