1 _ 1 (159)			1 _ 1 (159)			1 _ 3		
Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход
сек	Н	мм	сек	Н	мм	сек	Н	мм
0	38,78196	3,333333E-05	0	77,38272	3,333333E-05	0	29,2182	3,333333E-05
0,01	38,77163	0,0001666667	0,01	77,38034	0,0001	0,01	29,22058	0,0001666667
0,02	38,76209	0,0006666667	0,02	77,38034	0,0004666667	0,02	29,22455	0,0005
0,03	38,77401	0,0015	0,03	77,37318	0,0013	0,03	29,23568	0,001333333
0,04	38,8662	0,002533333	0,04	77,38988	0,002433333	0,04	29,28495	0,002366667
0,05	39,16025	0,003566667	0,05	77,52895	0,003533333	0,05	29,43277	0,003466667
0,06	39,73246	0,0044	0,06	77,86035	0,004366667	0,06	29,72364	0,004333334
0,07	40,43897	0,005133334	0,07	78,31255	0,005033333	0,07	30,09558	0,005033333
0,08	41,05012	0,005866667	0,08	78,7878	0,0058	0,08	30,46989	0,0058
0,09	41,6398	0,006666667	0,09	79,39577	0,006633333	0,09	30,98488	0,006666667
0,1	42,59189	0,007533333	0,1	80,40349	0,0075	0,1	31,96081	0,007566667
0,11	44,15591	0,008433334	0,11	81,93016	0,008433334	0,11	33,56536	0,0085
0,12	46,25003	0,009333333	0,12	83,90585	0,009366667	0,12	35,70795	0,0094
0,13	48,69699	0,0102	0,13	86,23361	0,01023333	0,13	38,23996	0,0103
0,14	51,39112	0,01106667	0,14	88,83714	0,01116667	0,14	41,05647	0,01116667
0,15	54,26248	0,01193333	0,15	91,62347	0,01203333	0,15	44,04386	0,01203333
0,16	57,24509	0,01283333	0,16	94,50515	0,01293333	0,16	47,08529	0,01293333
0,17	60,29129	0,01366667	0,17	97,4369	0,01376667	0,17	50,11399	0,01376667
0,18	63,37722	0,01453333	0,18	100,4132	0,0146	0,18	53,12204	0,01463333
0,19	66,47746	0,01536667	0,19	103,4212	0,01546667	0,19	56,11897	0,0155
0,2	69,57531	0,01623333	0,2	106,4293	0,0163	0,2	59,10238	0,0163
0,21	72,66045	0,01706667	0,21	109,4079	0,01716667	0,21	62,06036	0,01716667
0,22	75,73923	0,01793333	0,22	112,3556	0,018	0,22	64,98495	0,018
0,23	78,81641	0,0188	0,23	115,2849	0,01886667	0,23	67,88969	0,01883333
0,24	81,89917	0,01963333	0,24	118,2048	0,01973333	0,24	70,79681	0,0197
0,25	85,01053	0,0205	0,25	121,1278	0,02056667	0,25	73,7079	0,02053333
0,26	88,17275	0,0213	0,26	124,0842	0,0214	0,26	76,6174	0,0214
0,27	91,3763	0,02216667	0,27	127,0874	0,02223333	0,27	79,5269	0,02223333
0,28	94,5878	0,02303333	0,28	130,0995	0,02306667	0,28	82,44673	0,02306667
0,29	97,78023	0,02383333	0,29	133,0805	0,02386667	0,29	85,37134	0,0239
0,3	100,9568	0,02466667	0,3	136,0297	0,0247	0,3	88,29435	0,0247
0,31	104,1373	0,0255	0,31	138,9821	0,02553333	0,31	91,20782	0,02556667
0,32	107,3265	0,02633333	0,32	141,9544	0,0264	0,32	94,10779	0,0264
0,33	110,5173	0,02723333	0,33	144,9482	0,02726667	0,33	96,99503	0,0272
0,34	113,7153	0,0281	0,34	147,9634	0,0281	0,34	99,89262	0,02803333
0,35	116,9411	0,02886667	0,35	151,0255	0,0289	0,35	102,8148	0,0289
0,36	120,2178	0,0297	0,36	154,1384	0,0297	0,36	105,7514	0,0297
0,37	123,5318	0,03053333	0,37	157,2673	0,03053333	0,37	108,6871	0,03053333
0,38	126,8228	0,03136667	0,38	160,3603	0,03136667	0,38	111,6236	0,03136667
0,39	130,0303	0,03216667	0,39	163,3994	0,03216667	0,39	114,5593	0,0322
0,4	133,1743	0,033	0,4	166,4193	0,033	0,4	117,4887	0,03303333
0,41	136,2975	0,03383333	0,41	169,4512	0,03386667	0,41	120,4228	0,03396667
0,42	139,4192	0,0347	0,42	172,4927	0,03476667	0,42	123,3896	0,0348
0,43	142,5378	0,03556667	0,43	175,5309	0,03563333	0,43	126,392	0,0356
0,44	145,673	0,0364	0,44	178,5835	0,03643334	0,44	129,4263	0,03643334
0,45	148,8606	0,03723333	0,45	181,6877	0,03726667	0,45	132,4813	0,03723333
0,46	152,1047	0,03806667	0,46	184,8499	0,03806667	0,46	135,5179	0,03806667
0,47	155,3726	0,0389	0,47	188,0177	0,0389	0,47	138,4862	0,0389
0,48	158,6215	0,0397	0,48	191,1362	0,03973334	0,48	141,3886	0,03973334
0,49	161,8377	0,04053333	0,49	194,1999	0,04056667	0,49	144,2885	0,04053333
0,5	165,0294	0,04133333	0,5	197,2461	0,0414	0,5	147,2441	0,04136667
0,51	168,2099	0,04216667	0,51	200,3074	0,04223333	0,51	150,2522	0,04223333
0,52	171,3761	0,04303334	0,52	203,3718	0,04306667	0,52	153,2785	0,04303334
0,53	174,5296	0,0439	0,53	206,4284	0,04386667	0,53	156,3088	0,0439
0,54	177,6767	0,04473333	0,54	209,4746	0,0447	0,54	159,3415	0,0447
0,55	180,8413	0,04556667	0,55	212,5049	0,04553333	0,55	162,3623	0,04556667
0,56	184,0361	0,0464	0,56	215,5066	0,04643333	0,56	165,3552	0,0464
0,57	187,2547	0,04723334	0,57	218,4876	0,0473	0,57	168,3354	0,04726667
0,58	190,4639	0,04803333	0,58	221,4869	0,0481	0,58	171,326	0,0481
0,59	193,6412	0,0489	0,59	224,5529	0,04893333	0,59	174,3317	0,04893333
0,6	196,7963	0,0497	0,6	227,6882	0,04973333	0,6	177,3484	0,04976667
0,61	199,937	0,0505	0,61	230,8337	0,05056667	0,61	180,3835	0,05056667
0,62	203,0754	0,0513	0,62	233,9355	0,05136667	0,62	183,4337	0,05133333
0,63	206,2114	0,05213333	0,63	236,9889	0,05216667	0,63	186,4775	0,05216667
0,64	209,3355	0,05296667	0,64	240,0231	0,053	0,64	189,4879	0,053
0,65	212,4333	0,0538	0,65	243,0495	0,05383334	0,65	192,4443	0,05383334
0,66	215,5113	0,05466667	0,66	246,0607	0,0547	0,66	195,353	0,0547
0,67	218,6036	0,0555	0,67	249,0663	0,05556667	0,67	198,2609	0,05553333
0,68	221,7491	0,05636667	0,68	252,1014	0,0564	0,68	201,23	0,05636667
0,69	224,9662	0,0572	0,69	255,1921	0,0572	0,69	204,2786	0,05716667
0,7	228,2222	0,05803333	0,7	258,3218	0,058	0,7	207,3693	0,058
0,71	231,4599	0,05883333	0,71	261,4578	0,05883333	0,71	210,4537	0,05883333
0,72	234,6603	0,05966667	0,72	264,5667	0,05966667	0,72	213,5173	0,05963333
0,73	237,8408	0,0605	0,73	267,6328	0,06043334	0,73	216,5683	0,0605
0,74	241,011	0,0613	0,74	270,6591	0,0613	0,74	219,6097	0,06133333
0,75	244,1629	0,06216667	0,75	273,6664	0,06216667	0,75	222,6448	0,0622
0,76	247,3021	0,06303333	0,76	276,6681	0,06303333	0,76	225,6974	0,06306667
0,77	250,45	0,0639	0,77	279,6873	0,0639	0,77	228,7904	0,06393334
0,78	253,6217	0,06476667	0,78	282,7509	0,06476667	0,78	231,9264	0,06476667
0,79	256,8316	0,0656	0,79	285,8734	0,0656	0,79	235,0871	0,0656
0,8	260,0884	0,06643333	0,8	289,0364	0,06643333	0,8	238,2604	0,06643333
0,81	263,3786	0,06726667	0,81	292,2177	0,06723333	0,81	241,4457	0,06726667
0,82	266,6696	0,06813333	0,82	295,403	0,06803334	0,82	244,6381	0,06813333
0,83	269,9343	0,069	0,83	298,5612	0,06893333	0,83	247,8186	0,06893333
0,84	273,1713	0,06983333	0,84	301,6631	0,0698	0,84	250,9618	0,06976667
0,85	276,4082	0,0706	0,85	304,7315	0,07063334	0,85	254,0684	0,0706
0,86	279,6753	0,07143334	0,86	307,8262	0,0715	0,86	257,1702	0,07143334
0,87	282,9576	0,07226667	0,87	310,99	0,0723	0,87	260,2887	0,0723
0,88	286,1969	0,0731	0,88	314,1975	0,07313333	0,88	263,4136	0,0731
0,89	289,3591	0,07393333	0,89	317,3868	0,07396667	0,89	266,5369	0,07393333
0,9	292,4816	0,07476667	0,9	320,5315	0,0748	0,9	269,6713	0,07476667
0,91	295,6295	0,07556666	0,91	323,6453	0,07563333	0,91	272,8279	0,0756
0,92	298,8172	0,07643333	0,92	326,7408	0,07646666	0,92	275,9926	0,07643333
0,93	302,0151	0,07726667	0,93	329,8322	0,07726667	0,93	279,1373	0,07726667
0,94	305,2076	0,07803334	0,94	332,9341	0,0781	0,94	282,2574	0,0781
0,95	308,4008	0,0789	0,95	336,0383	0,07893334	0,95	285,364	0,07893334
0,96	311,5972	0,07973333	0,96	339,1226	0,07976667	0,96	288,4753	0,07973333
0,97	314,7825	0,08056667	0,97	342,1776	0,0806	0,97	291,6042	0,08053333
0,98	317,9526	0,08143333	0,98	345,2174	0,08143333	0,98	294,7402	0,08143333
0,99	321,126	0,0823	0,99	348,2691	0,08226667	0,99	297,8587	0,08226667
1	324,3279	0,0831	1	351,3431	0,0831	1	300,9653	0,0831
1,01	327,5776	0,08393333	1,01	354,445	0,08393333	1,01	304,0989	0,08393333
1,02	330,8582	0,0847	1,02	357,5691	0,08476667	1,02	307,2874	0,08476667
1,03	334,1238	0,0855	1,03	360,6987	0,0856	1,03	310,4941	0,08563334
1,04	337,3329	0,08633333	1,04	363,8252	0,08643334	1,04	313,6746	0,08643334
1,05	340,4879	0,08716667	1,05	366,9477	0,08723333	1,05	316,8392	0,08723333
1,06	343,6049	0,088	1,06	370,0638	0,08806667	1,06	320,0134	0,08803333
1,07	346,7003	0,08883333	1,07	373,1584	0,08886667	1,07	323,1867	0,0889
1,08	349,8101	0,08966666	1,08	376,2237	0,0897	1,08	326,3148	0,08976667
1,09	352,9724	0,09056666	1,09	379,2802	0,09056666	1,09	329,3991	0,09063333
1,1	356,1807	0,09143333	1,1	382,3439	0,09143333	1,1	332,4898	0,09143333
1,11	359,4144	0,0923	1,11	385,4283	0,0923	1,11	335,6234	0,0923
1,12	362,676	0,0931	1,12	388,5436	0,09313334	1,12	338,788	0,09316666
1,13	365,9805	0,09393334	1,13	391,6963	0,09396667	1,13	341,955	0,09396667
1,14	369,3159	0,09476667	1,14	394,8816	0,0948	1,14	345,1093	0,0948
1,15	372,6276	0,0956	1,15	398,0732	0,09563334	1,15	348,2556	0,0956
1,16	375,8844	0,09643333	1,16	401,2434	0,09643333	1,16	351,4036	0,09643333
1,17	379,1006	0,09723333	1,17	404,3802	0,09726667	1,17	354,5396	0,09726667
1,18	382,3129	0,0981	1,18	407,4875	0,09806667	1,18	357,635	0,0981
1,19	385,53	0,0989	1,19	410,5695	0,0989	1,19	360,6916	0,09893333
1,2	388,7375	0,09973334	1,2	413,6093	0,09973334	1,2	363,7441	0,09976666
1,21	391,9363	0,1005667	1,21	416,6078	0,1005667	1,21	366,7975	0,1006
1,22	395,1367	0,1013667	1,22	419,5929	0,1014	1,22	369,8373	0,1014
1,23	398,3402	0,1022	1,23	422,6009	0,1022333	1,23	372,8604	0,1022333
1,24	401,5406	0,1030333	1,24	425,6384	0,1030667	1,24	375,8883	0,1030667
1,25	404,7338	0,1038667	1,25	428,6885	0,1039	1,25	378,9218	0,1039
1,26	407,9167	0,1047	1,26	431,7299	0,1047333	1,26	381,941	0,1047333
1,27	411,0909	0,1055333	1,27	434,761	0,1055667	1,27	384,9284	0,1055667
1,28	414,269	0,1063667	1,28	437,8025	0,1064	1,28	387,8983	0,1063667
1,29	417,4677	0,1072	1,29	440,8638	0,1072333	1,29	390,8745	0,1072
1,3	420,6927	0,1080333	1,3	443,9235	0,1080333	1,3	393,8619	0,1080333
1,31	423,9305	0,1089	1,31	446,9649	0,1089	1,31	396,8525	0,1089
1,32	427,1714	0,1097333	1,32	449,9952	0,1097333	1,32	399,8423	0,1097667
1,33	430,4083	0,1106	1,33	453,0263	0,1106	1,33	402,8368	0,1106333
1,34	433,6421	0,1114333	1,34	456,0669	0,1114667	1,34	405,8504	0,1114667
1,35	436,879	0,1122667	1,35	459,1242	0,1123	1,35	408,8855	0,1122667
1,36	440,1318	0,1131	1,36	462,2118	0,1131	1,36	411,9341	0,1130667
1,37	443,3934	0,1138667	1,37	465,3199	0,1138667	1,37	414,9779	0,1139
1,38	446,6351	0,1146667	1,38	468,4051	0,1147	1,38	417,9819	0,1147333
1,39	449,8251	0,1155	1,39	471,4195	0,1155667	1,39	420,9216	0,1155667
1,4	452,9492	0,1163	1,4	474,3505	0,1164	1,4	423,8113	0,1163667
1,41	456,0184	0,1171333	1,41	477,2464	0,1172333	1,41	426,6953	0,1172
1,42	459,0805	0,118	1,42	480,1758	0,1180667	1,42	429,6001	0,1180333
1,43	462,1681	0,1188667	1,43	483,1616	0,1189	1,43	432,5143	0,1188333
1,44	465,2715	0,1197333	1,44	486,1625	0,1197333	1,44	435,4119	0,1197
1,45	468,3979	0,1205667	1,45	489,1483	0,1205667	1,45	438,2888	0,1205333
1,46	471,5808	0,1214	1,46	492,1349	0,1214	1,46	441,1721	0,1213667
1,47	474,8305	0,1222333	1,47	495,1294	0,1222333	1,47	444,0919	0,1222333
1,48	478,0976	0,1230667	1,48	498,1112	0,1230667	1,48	447,0483	0,1231
1,49	481,329	0,1239333	1,49	501,0835	0,1239	1,49	450,0119	0,1239667
1,5	484,5166	0,1247333	1,5	504,0725	0,1247667	1,5	452,9874	0,1247667
1,51	487,6884	0,1255333	1,51	507,0806	0,1255667	1,51	456,0073	0,1256
1,52	490,8768	0,1264	1,52	510,095	0,1264	1,52	459,0734	0,1264333
1,53	494,0701	0,1272333	1,53	513,1149	0,1272333	1,53	462,1148	0,1272333
1,54	497,2235	0,1280667	1,54	516,1365	0,1280333	1,54	465,0823	0,1280667
1,55	500,3286	0,1289	1,55	519,1326	0,1289	1,55	468,0077	0,1289
1,56	503,4359	0,1297333	1,56	522,0938	0,1297667	1,56	470,9411	0,1297333
1,57	506,5751	0,1305667	1,57	525,0359	0,1306	1,57	473,8808	0,1305333
1,58	509,7222	0,1313667	1,58	527,9899	0,1314	1,58	476,8014	0,1313333
1,59	512,8582	0,1322	1,59	530,9908	0,1322333	1,59	479,7085	0,1321667
1,6	515,9783	0,1330333	1,6	534,0314	0,1330333	1,6	482,6204	0,1330333
1,61	519,0873	0,1338333	1,61	537,0546	0,1338333	1,61	485,5402	0,1338333
1,62	522,1899	0,1347	1,62	540,0109	0,1347	1,62	488,4672	0,1347
1,63	525,287	0,1355333	1,63	542,9133	0,1355333	1,63	491,4164	0,1355
1,64	528,3769	0,1364	1,64	545,8069	0,1364	1,64	494,3935	0,1363667
1,65	531,4891	0,1372333	1,65	548,7363	0,1372333	1,65	497,388	0,1372333
1,66	534,6385	0,1380667	1,66	551,7276	0,1381	1,66	500,3842	0,1381
1,67	537,8127	0,1389	1,67	554,7714	0,1389333	1,67	503,3811	0,1389333
1,68	540,9956	0,1397333	1,68	557,8383	0,1397667	1,68	506,3955	0,1397667
1,69	544,1682	0,1405667	1,69	560,9115	0,1406	1,69	509,4552	0,1406
1,7	547,3081	0,1413667	1,7	563,9847	0,1414	1,7	512,5602	0,1414
1,71	550,41	0,1422	1,71	567,046	0,1422	1,71	515,6644	0,1422333
1,72	553,4879	0,143	1,72	570,0692	0,143	1,72	518,713	0,1430333
1,73	556,5604	0,1438333	1,73	573,0454	0,1438333	1,73	521,6988	0,1438667
1,74	559,6272	0,1446667	1,74	575,9843	0,1447	1,74	524,6592	0,1447
1,75	562,6726	0,1455667	1,75	578,905	0,1455667	1,75	527,6195	0,1455333
1,76	565,6989	0,1464	1,76	581,8359	0,1464	1,76	530,5878	0,1464
1,77	568,7467	0,1472333	1,77	584,8154	0,1472333	1,77	533,5776	0,1472333
1,78	571,8565	0,1480667	1,78	587,8591	0,1481	1,78	536,5968	0,1481
1,79	575,0195	0,1489	1,79	590,9514	0,1489333	1,79	539,6422	0,1489667
