1 _ 1			1 _ 2			1 _ 3			1 _ 4			1 _ 5		
Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход
сек	Н	мм	сек	Н	мм	сек	Н	мм	сек	Н	мм	сек	Н	мм
0	-0,5888939	6,666667E-05	0	-0,7955233	6,666667E-05	0	0,3838539	3,333333E-05	0	-0,08503596	3,333333E-05	0	-0,7128716	6,666667E-05
0,01	-0,585715	0,0017	0,01	-0,7987022	0,0004333333	0,01	0,3846487	0,0003333333	0,01	-0,08742014	0,0003333333	0,01	-0,7112821	0,0004333333
0,02	-0,5761783	0,0057	0,02	-0,8026759	0,001533333	0,02	0,3862381	0,0014	0,02	-0,1001358	0,001366667	0,02	-0,7136663	0,001533333
0,03	-0,5674362	0,01036667	0,03	-0,8034706	0,003166667	0,03	0,3862381	0,003066667	0,03	-0,1088778	0,003033333	0,03	-0,7112821	0,003133333
0,04	-0,5610784	0,01543333	0,04	-0,8002917	0,004733333	0,04	0,3886223	0,004666667	0,04	-0,10252	0,004633334	0,04	-0,7081032	0,004733333
0,05	-0,5467733	0,0208	0,05	-0,7955233	0,0061	0,05	0,3941854	0,006066667	0,05	-0,08900961	0,006033333	0,05	-0,7128716	0,0061
0,06	-0,5229314	0,02616667	0,06	-0,7867813	0,007566667	0,06	0,4084905	0,007533333	0,06	-0,07629395	0,007533333	0,06	-0,7239978	0,007566667
0,07	-0,4959106	0,03133333	0,07	-0,7764499	0,0092	0,07	0,4339218	0,009166666	0,07	-0,0667572	0,009166666	0,07	-0,7287661	0,009166666
0,08	-0,4529953	0,0364	0,08	-0,7692973	0,0109	0,08	0,4760424	0,01086667	0,08	-0,04927317	0,01086667	0,08	-0,726382	0,01086667
0,09	-0,3608068	0,04146667	0,09	-0,7653236	0,01256667	0,09	0,5284945	0,0126	0,09	-0,01509984	0,01256667	0,09	-0,7224083	0,01256667
0,1	-0,1637141	0,04643333	0,1	-0,7708867	0,0142	0,1	0,5960464	0,01426667	0,1	0,02543131	0,0142	0,1	-0,7224083	0,0142
0,11	0,1978874	0,05136667	0,11	-0,7804235	0,0158	0,11	0,6874402	0,0158	0,11	0,06834666	0,0158	0,11	-0,7224083	0,01576667
0,12	0,7883708	0,05633333	0,12	-0,787576	0,0174	0,12	0,8018811	0,01736667	0,12	0,1192093	0,0174	0,12	-0,7224083	0,01733333
0,13	1,644293	0,06133333	0,13	-0,787576	0,01896667	0,13	0,928243	0,01893333	0,13	0,1827876	0,019	0,13	-0,7176399	0,0189
0,14	2,772808	0,06643333	0,14	-0,7851918	0,0205	0,14	1,057784	0,0205	0,14	0,2582868	0,0205	0,14	-0,7136663	0,02046667
0,15	4,150867	0,07156667	0,15	-0,7851918	0,022	0,15	1,183351	0,02203333	0,15	0,3369649	0,022	0,15	-0,7168452	0,02203333
0,16	5,75463	0,07656667	0,16	-0,7899602	0,02353333	0,16	1,315276	0,02353333	0,16	0,4204114	0,0235	0,16	-0,7239978	0,02353333
0,17	7,557074	0,08146667	0,17	-0,7955233	0,02503333	0,17	1,455148	0,025	0,17	0,5078316	0,025	0,17	-0,7327397	0,025
0,18	9,518464	0,08646667	0,18	-0,7963181	0,0265	0,18	1,609325	0,0265	0,18	0,5984306	0,02646667	0,18	-0,7359187	0,0265
0,19	11,58873	0,09146667	0,19	-0,7931392	0,028	0,19	1,769861	0,02796667	0,19	0,6898244	0,02793333	0,19	-0,7383029	0,02803333
0,2	13,71861	0,09663334	0,2	-0,7843971	0,02943333	0,2	1,93278	0,02943333	0,2	0,7836024	0,02946667	0,2	-0,7414818	0,0295
0,21	15,86835	0,1018	0,21	-0,7780393	0,03096667	0,21	2,097289	0,0309	0,21	0,8845329	0,03096667	0,21	-0,7383029	0,031
0,22	18,03239	0,1068333	0,22	-0,7804235	0,0325	0,22	2,269745	0,03243333	0,22	0,9910266	0,03246667	0,22	-0,7311503	0,0325
0,23	20,22505	0,1118333	0,23	-0,7891655	0,03403333	0,23	2,450943	0,034	0,23	1,099904	0,03396667	0,23	-0,7224083	0,03403333
0,24	22,46062	0,1167	0,24	-0,7963181	0,0355	0,24	2,633731	0,03553334	0,24	1,21673	0,03546667	0,24	-0,7192294	0,03553334
0,25	24,73354	0,1216	0,25	-0,7987022	0,03696667	0,25	2,819697	0,037	0,25	1,347065	0,03696667	0,25	-0,7200241	0,037
0,26	27,0168	0,1265667	0,26	-0,8002917	0,03846667	0,26	3,012816	0,0385	0,26	1,486143	0,03846667	0,26	-0,7200241	0,03846667
0,27	29,27621	0,1315	0,27	-0,8002917	0,03996667	0,27	3,217061	0,03996667	0,27	1,634757	0,03996667	0,27	-0,7192294	0,03993334
0,28	31,4943	0,1364333	0,28	-0,7979075	0,04143333	0,28	3,42528	0,04143333	0,28	1,792113	0,04143333	0,28	-0,7200241	0,04143333
0,29	33,69093	0,1414667	0,29	-0,7963181	0,0429	0,29	3,63191	0,0429	0,29	1,955032	0,04293333	0,29	-0,7239978	0,0429
0,3	35,89551	0,1464667	0,3	-0,7963181	0,04443333	0,3	3,838539	0,0444	0,3	2,118747	0,04443333	0,3	-0,7247925	0,0444
0,31	38,11995	0,1515667	0,31	-0,7987022	0,04593333	0,31	4,046758	0,0459	0,31	2,284845	0,04593333	0,31	-0,7247925	0,0459
0,32	40,35234	0,1566333	0,32	-0,8002917	0,04746667	0,32	4,255772	0,0474	0,32	2,458096	0,04743334	0,32	-0,7247925	0,0474
0,33	42,58076	0,1616333	0,33	-0,8002917	0,04893333	0,33	4,466375	0,0489	0,33	2,63532	0,04893333	0,33	-0,7224083	0,0489
0,34	44,80998	0,1667	0,34	-0,8002917	0,05036667	0,34	4,680157	0,05036667	0,34	2,814929	0,0504	0,34	-0,7128716	0,05036667
0,35	47,04475	0,1717	0,35	-0,7987022	0,05186667	0,35	4,902681	0,05186667	0,35	2,999306	0,05186667	0,35	-0,7041295	0,05186667
0,36	49,27794	0,1767	0,36	-0,7915497	0,0534	0,36	5,133152	0,0534	0,36	3,194014	0,0534	0,36	-0,705719	0,0534
0,37	51,5	0,1818333	0,37	-0,7820129	0,05493334	0,37	5,37316	0,05486667	0,37	3,392696	0,05486667	0,37	-0,7152557	0,05493334
0,38	53,71332	0,1869	0,38	-0,7756551	0,0564	0,38	5,618731	0,0564	0,38	3,600915	0,0564	0,38	-0,7247925	0,0564
0,39	55,92585	0,1918667	0,39	-0,7756551	0,05786667	0,39	5,87225	0,05786667	0,39	3,815492	0,0579	0,39	-0,7287661	0,05786667
0,4	58,13519	0,1968667	0,4	-0,7780393	0,05936667	0,4	6,132921	0,0594	0,4	4,029274	0,0594	0,4	-0,7239978	0,05936667
0,41	60,335	0,2017667	0,41	-0,7804235	0,0609	0,41	6,405512	0,06093333	0,41	4,242261	0,06093333	0,41	-0,7136663	0,0609
0,42	62,52686	0,2066333	0,42	-0,7780393	0,06246667	0,42	6,678104	0,06246667	0,42	4,463196	0,06246667	0,42	-0,7081032	0,06246667
0,43	64,70918	0,2115	0,43	-0,7740657	0,06396667	0,43	6,949107	0,064	0,43	4,696051	0,06396667	0,43	-0,7041295	0,06396667
0,44	66,88277	0,2163667	0,44	-0,7732709	0,06546666	0,44	7,228056	0,0655	0,44	4,931291	0,0655	0,44	-0,7033348	0,06546666
0,45	69,0333	0,2213667	0,45	-0,7708867	0,06693333	0,45	7,523695	0,067	0,45	5,158583	0,067	0,45	-0,7041295	0,067
0,46	71,1592	0,2264	0,46	-0,7629395	0,06846667	0,46	7,827282	0,0685	0,46	5,382697	0,0685	0,46	-0,7104874	0,06846667
0,47	73,27715	0,2314333	0,47	-0,7549922	0,06996667	0,47	8,130074	0,07	0,47	5,611578	0,07	0,47	-0,7176399	0,06996667
0,48	75,4118	0,2365667	0,48	-0,7534027	0,07146667	0,48	8,435249	0,07146667	0,48	5,852381	0,07146667	0,48	-0,7168452	0,07146667
0,49	77,57108	0,2416333	0,49	-0,7621447	0,073	0,49	8,75314	0,07293333	0,49	6,101131	0,073	0,49	-0,7088979	0,07296667
0,5	79,75737	0,2466333	0,5	-0,7685025	0,0745	0,5	9,078979	0,0745	0,5	6,345113	0,0745	0,5	-0,7033348	0,0745
0,51	81,96513	0,2516667	0,51	-0,7621447	0,076	0,51	9,406407	0,07596667	0,51	6,581148	0,076	0,51	-0,7017453	0,076
0,52	84,18321	0,2565667	0,52	-0,7486343	0,07746667	0,52	9,737015	0,07743333	0,52	6,814798	0,07746667	0,52	-0,6993611	0,07743333
0,53	86,40051	0,2616333	0,53	-0,7422765	0,07893334	0,53	10,07636	0,07893334	0,53	7,050037	0,0789	0,53	-0,6977717	0,07893334
0,54	88,60667	0,2667333	0,54	-0,749429	0,08046667	0,54	10,42128	0,08046667	0,54	7,282098	0,0804	0,54	-0,6977717	0,08046667
0,55	90,79298	0,2717667	0,55	-0,7534027	0,08196667	0,55	10,76698	0,08196667	0,55	7,507801	0,08193333	0,55	-0,7017453	0,082
0,56	92,96973	0,2767667	0,56	-0,7422765	0,08346666	0,56	11,11428	0,08346666	0,56	7,728735	0,08346666	0,56	-0,7065137	0,08346666
0,57	95,14729	0,2817	0,57	-0,726382	0,08496667	0,57	11,46793	0,08496667	0,57	7,952055	0,08493333	0,57	-0,7088979	0,08493333
0,58	97,32803	0,2866667	0,58	-0,7192294	0,08643334	0,58	11,82874	0,0864	0,58	8,172194	0,0864	0,58	-0,7041295	0,08643334
0,59	99,49684	0,2916	0,59	-0,7136663	0,08793333	0,59	12,1967	0,08793333	0,59	8,385181	0,0879	0,59	-0,696977	0,08796667
0,6	101,6442	0,2965667	0,6	-0,705719	0,08946667	0,6	12,56943	0,0895	0,6	8,589427	0,08946667	0,6	-0,6945928	0,08953334
0,61	103,7701	0,3015	0,61	-0,6930034	0,09103333	0,61	12,94613	0,09103333	0,61	8,785725	0,09103333	0,61	-0,6953875	0,09106667
0,62	105,8753	0,3064333	0,62	-0,6842613	0,09256667	0,62	13,33475	0,09253334	0,62	8,97646	0,09256667	0,62	-0,6953875	0,09256667
0,63	107,9607	0,3114	0,63	-0,679493	0,0941	0,63	13,74324	0,09406666	0,63	9,162426	0,0941	0,63	-0,6953875	0,09406666
