1 _ 1			1 _ 2			1 _ 3			1 _ 4			1 _ 5		
Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход
сек	Н	мм	сек	Н	мм	сек	Н	мм	сек	Н	мм	сек	Н	мм
0	-0,2527237	6,666667E-05	0	-0,3155073	6,666667E-05	0	-0,24875	6,666667E-05	0	-0,41008	0,0001	0	-0,3520648	6,666667E-05
0,01	-0,2455711	0,0004	0,01	-0,3067652	0,001466667	0,01	-0,2423922	0,001366667	0,01	-0,4076958	0,001366667	0,01	-0,35127	0,0013
0,02	-0,240008	0,001466667	0,02	-0,304381	0,004633334	0,02	-0,2392133	0,0045	0,02	-0,4053116	0,004366667	0,02	-0,3600121	0,004366667
0,03	-0,240008	0,003066667	0,03	-0,3115336	0,008066666	0,03	-0,2392133	0,007933334	0,03	-0,401338	0,007733333	0,03	-0,3679594	0,007833334
0,04	-0,2439817	0,004666667	0,04	-0,3155073	0,01153333	0,04	-0,240008	0,0115	0,04	-0,398159	0,01126667	0,04	-0,3679594	0,01143333
0,05	-0,2455711	0,006066667	0,05	-0,3091494	0,01533333	0,05	-0,2344449	0,0153	0,05	-0,389417	0,01516667	0,05	-0,3568331	0,0153
0,06	-0,2423922	0,0075	0,06	-0,2996127	0,0192	0,06	-0,2185504	0,01923333	0,06	-0,3759066	0,01923333	0,06	-0,3465017	0,01923333
0,07	-0,2392133	0,009166666	0,07	-0,2948443	0,02313333	0,07	-0,2074242	0,02316667	0,07	-0,3647804	0,02323333	0,07	-0,3465017	0,0232
0,08	-0,2392133	0,0109	0,08	-0,295639	0,02703333	0,08	-0,2129873	0,02703333	0,08	-0,3671646	0,0271	0,08	-0,3584226	0,02706667
0,09	-0,2392133	0,01256667	0,09	-0,2980232	0,03076667	0,09	-0,2288818	0,03076667	0,09	-0,3870328	0,0308	0,09	-0,3679594	0,03076667
0,1	-0,2392133	0,0142	0,1	-0,2980232	0,03443334	0,1	-0,2415975	0,03446667	0,1	-0,4092852	0,0345	0,1	-0,3695488	0,03446667
0,11	-0,240008	0,01576667	0,11	-0,3004074	0,03806667	0,11	-0,2455711	0,03813333	0,11	-0,4172325	0,03816667	0,11	-0,3655752	0,03813333
0,12	-0,2439817	0,01733333	0,12	-0,3004074	0,0418	0,12	-0,2439817	0,04183333	0,12	-0,4124641	0,04186667	0,12	-0,3623962	0,0418
0,13	-0,2463659	0,0189	0,13	-0,2948443	0,04546667	0,13	-0,2423922	0,04546667	0,13	-0,4037221	0,04546667	0,13	-0,3584226	0,04543334
0,14	-0,2479553	0,02046667	0,14	-0,2861023	0,04913333	0,14	-0,2415975	0,04916667	0,14	-0,4029274	0,04916667	0,14	-0,3568331	0,04913333
0,15	-0,24875	0,02203333	0,15	-0,2845128	0,05283333	0,15	-0,2344449	0,0529	0,15	-0,401338	0,05286667	0,15	-0,3584226	0,0529
0,16	-0,2511342	0,02346667	0,16	-0,2908707	0,05656667	0,16	-0,2241135	0,0566	0,16	-0,3949801	0,0566	0,16	-0,3600121	0,05656667
0,17	-0,24875	0,02496667	0,17	-0,3004074	0,06023333	0,17	-0,2185504	0,06026667	0,17	-0,3830592	0,0603	0,17	-0,3600121	0,06026667
0,18	-0,2439817	0,0265	0,18	-0,3051758	0,06386667	0,18	-0,2193451	0,06393334	0,18	-0,3735224	0,06393334	0,18	-0,3608068	0,0639
0,19	-0,2439817	0,02796667	0,19	-0,3051758	0,0675	0,19	-0,2193451	0,0676	0,19	-0,3671646	0,06756667	0,19	-0,3623962	0,06756667
0,2	-0,2439817	0,02946667	0,2	-0,3051758	0,07123333	0,2	-0,2129873	0,07126667	0,2	-0,3600121	0,07123333	0,2	-0,3568331	0,0712
0,21	-0,2368291	0,03096667	0,21	-0,3067652	0,07486667	0,21	-0,2082189	0,0749	0,21	-0,342528	0,0749	0,21	-0,3496806	0,07486667
0,22	-0,2264977	0,0325	0,22	-0,304381	0,0786	0,22	-0,2098083	0,07866666	0,22	-0,3218651	0,07866666	0,22	-0,35127	0,07866666
0,23	-0,2257029	0,03406667	0,23	-0,295639	0,0824	0,23	-0,2145767	0,08246667	0,23	-0,3004074	0,08246667	0,23	-0,363191	0,0825
0,24	-0,2288818	0,03556667	0,24	-0,286897	0,08616666	0,24	-0,2145767	0,0862	0,24	-0,278155	0,0862	0,24	-0,3735224	0,08623333
0,25	-0,2264977	0,03703333	0,25	-0,2861023	0,0899	0,25	-0,2121925	0,0899	0,25	-0,2511342	0,0899	0,25	-0,3735224	0,08986667
0,26	-0,2193451	0,03846667	0,26	-0,2861023	0,0935	0,26	-0,2098083	0,0935	0,26	-0,2193451	0,0935	0,26	-0,3711382	0,09353334
0,27	-0,2217293	0,03993334	0,27	-0,2805392	0,09713333	0,27	-0,2082189	0,09716666	0,27	-0,187556	0,0971	0,27	-0,371933	0,09713333
0,28	-0,2352397	0,0414	0,28	-0,2710024	0,1007	0,28	-0,2074242	0,1007	0,28	-0,1517932	0,1006667	0,28	-0,3695488	0,1007333
0,29	-0,24875	0,0429	0,29	-0,2662341	0,1043667	0,29	-0,2034505	0,1043333	0,29	-0,1072884	0,1043333	0,29	-0,3600121	0,1043667
0,3	-0,2527237	0,04443333	0,3	-0,2757708	0,1080333	0,3	-0,1970927	0,1080333	0,3	-0,04927317	0,1080667	0,3	-0,3536542	0,1080667
0,31	-0,2503395	0,04593333	0,31	-0,2932549	0,1117	0,31	-0,1899401	0,1117	0,31	0,02145767	0,1117333	0,31	-0,3608068	0,1117333
0,32	-0,2479553	0,04743334	0,32	-0,3004074	0,1153333	0,32	-0,187556	0,1153333	0,32	0,09934107	0,1153333	0,32	-0,3743172	0,1153333
0,33	-0,2463659	0,0489	0,33	-0,2932549	0,1189333	0,33	-0,1859665	0,1189333	0,33	0,184377	0,1189333	0,33	-0,3870328	0,1189333
0,34	-0,2439817	0,05036667	0,34	-0,2861023	0,1225333	0,34	-0,1827876	0,1225667	0,34	0,2773603	0,1226	0,34	-0,389417	0,1225667
0,35	-0,240008	0,0519	0,35	-0,286897	0,1262333	0,35	-0,1748403	0,1262667	0,35	0,3822645	0,1263	0,35	-0,3846487	0,1262333
0,36	-0,2376239	0,05343333	0,36	-0,2908707	0,1299	0,36	-0,1692772	0,1298667	0,36	0,4927317	0,1299	0,36	-0,3830592	0,1298667
0,37	-0,2392133	0,05493334	0,37	-0,286897	0,1335333	0,37	-0,166893	0,1335667	0,37	0,6095569	0,1336	0,37	-0,3846487	0,1336
0,38	-0,2439817	0,05643333	0,38	-0,278155	0,1372667	0,38	-0,1605352	0,1372667	0,38	0,743866	0,1373333	0,38	-0,3814697	0,1373
0,39	-0,2463659	0,0579	0,39	-0,2749761	0,141	0,39	-0,1454353	0,1409667	0,39	0,9012222	0,141	0,39	-0,3743172	0,141
0,4	-0,2392133	0,0594	0,4	-0,2837181	0,1446667	0,4	-0,1311302	0,1447	0,4	1,080036	0,1447	0,4	-0,3679594	0,1446667
0,41	-0,2264977	0,06096667	0,41	-0,2948443	0,1483333	0,41	-0,1223882	0,1484	0,41	1,266003	0,1483667	0,41	-0,3695488	0,1483667
0,42	-0,2193451	0,06246667	0,42	-0,2932549	0,1520333	0,42	-0,120004	0,1521	0,42	1,447996	0,1521	0,42	-0,371933	0,1520667
0,43	-0,2153714	0,06393334	0,43	-0,2837181	0,1557	0,43	-0,1144409	0,1557667	0,43	1,621246	0,1557333	0,43	-0,3695488	0,1557333
0,44	-0,2185504	0,06543333	0,44	-0,278155	0,1593667	0,44	-0,10252	0,1594	0,44	1,775424	0,1593667	0,44	-0,363191	0,1594333
0,45	-0,2217293	0,06693333	0,45	-0,278155	0,1630667	0,45	-0,08503596	0,1631333	0,45	1,885891	0,1631	0,45	-0,3600121	0,1631333
0,46	-0,2264977	0,06846667	0,46	-0,2702077	0,1668667	0,46	-0,07152557	0,1669	0,46	1,970927	0,1669	0,46	-0,3608068	0,1669
0,47	-0,2304713	0,06996667	0,47	-0,2574921	0,1705667	0,47	-0,06039937	0,1706	0,47	2,105236	0,1706	0,47	-0,3655752	0,1706
0,48	-0,2328555	0,07146667	0,48	-0,24875	0,1742	0,48	-0,05086263	0,1742667	0,48	2,366702	0,1742667	0,48	-0,3679594	0,1742333
0,49	-0,2368291	0,07293333	0,49	-0,2503395	0,1778667	0,49	-0,03496806	0,1779	0,49	2,761682	0,1779	0,49	-0,3679594	0,1778667
0,5	-0,240008	0,07446667	0,5	-0,2551079	0,1815333	0,5	-0,01033147	0,1815667	0,5	3,237724	0,1815333	0,5	-0,3647804	0,1815333
0,51	-0,240008	0,07596667	0,51	-0,2527237	0,1851333	0,51	0,02304713	0,1851333	0,51	3,748735	0,1851333	0,51	-0,3600121	0,1851333
0,52	-0,2344449	0,07743333	0,52	-0,2423922	0,1887333	0,52	0,06755193	0,1887	0,52	4,27564	0,1887	0,52	-0,3600121	0,1887
0,53	-0,2304713	0,0789	0,53	-0,2368291	0,1923333	0,53	0,1192093	0,1923	0,53	4,817645	0,1923	0,53	-0,3671646	0,1923333
0,54	-0,2288818	0,0804	0,54	-0,2368291	0,1959	0,54	0,1804034	0,1959	0,54	5,380312	0,1959	0,54	-0,3735224	0,1959667
0,55	-0,2257029	0,08193333	0,55	-0,2344449	0,1995333	0,55	0,2630552	0,1995333	0,55	5,95967	0,1995333	0,55	-0,3671646	0,1995667
0,56	-0,2145767	0,08343334	0,56	-0,2241135	0,2031667	0,56	0,3774961	0,2031667	0,56	6,551743	0,2031667	0,56	-0,3449122	0,2032333
0,57	-0,2074242	0,08493333	0,57	-0,2121925	0,2069	0,57	0,530084	0,2069	0,57	7,154147	0,2069	0,57	-0,3186862	0,2069333
0,58	-0,2082189	0,0864	0,58	-0,2058347	0,2106	0,58	0,7192294	0,2106	0,58	7,770856	0,2106333	0,58	-0,3027916	0,2106
0,59	-0,2129873	0,08796667	0,59	-0,2121925	0,2142	0,59	0,9504954	0,2142667	0,59	8,405845	0,2142667	0,59	-0,2884865	0,2142333
0,6	-0,2121925	0,0895	0,6	-0,2233187	0,2179	0,6	1,232624	0,2179667	0,6	9,063085	0,2179333	0,6	-0,2566973	0,2179
