1 _ Eu38f			1 _ Eu316f			1 _ Eu317f			1 _ Eu317f			1 _ Eu39f			1 _ Eu41f			1 _ Eu318f			1 _ Eu318f			1 _ Eu38f			1 _ Tu65f			1 _ Tu63f			1 _ 00			1 _ Tu63f			1 _ Tu64f			1 _ Tu62f			1 _ Lu73f			1 _ Lu71f			1 _ Dy53f			1 _ Dy51f			1 _ Dy50f			1 _ Dy52f			1 _ Sm308f			1 _ Sm308f			1 _ Sm34f			1 _ Sm39f			1 _ Yb68f			1 _ Yb69f			1 _ Yb66f			1 _ Yb67f			1 _ Ho54f			1 _ Ho55f			1 _ Ho56f			1 _ Ho57f			1 _ Er58f			1 _ Er60f			1 _ Er61f			1 _ Er59f			1 _ Pr23TC			1 _ Pr24TC			1 _ Pr15TC			1 _ Pr17TC			1 _ Pr19TC			1 _ Pr20TC			1 _ Pr21TC			1 _ Pr16TC			1 _ Pr B_7			1 _ Pr B_6			1 _ Pr B_5			1 _ Pr22TC			1 _ Tb48f			1 _ Tb46f			1 _ Tb46f #2			1 _ Tb49f		
Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход
сек	Н	мм	сек	Н	мм	сек	Н	мм	сек	Н	мм	сек	Н	мм	сек	Н	мм	сек	Н	мм	сек	Н	мм	сек	Н	мм	сек	Н	мм	сек	Н	мм	сек	Н	мм	сек	Н	мм	сек	Н	мм	сек	Н	мм	сек	Н	мм	сек	Н	мм	сек	Н	мм	сек	Н	мм	сек	Н	мм	сек	Н	мм	сек	Н	мм	сек	Н	мм	сек	Н	мм	сек	Н	мм	сек	Н	мм	сек	Н	мм	сек	Н	мм	сек	Н	мм	сек	Н	мм	сек	Н	мм	сек	Н	мм	сек	Н	мм	сек	Н	мм	сек	Н	мм	сек	Н	мм	сек	Н	мм	сек	Н	мм	сек	Н	мм	сек	Н	мм	сек	Н	мм	сек	Н	мм	сек	Н	мм	сек	Н	мм	сек	Н	мм	сек	Н	мм	сек	Н	мм	сек	Н	мм	сек	Н	мм	сек	Н	мм	сек	Н	мм	сек	Н	мм	сек	Н	мм
0	0,05642573	0	0	-0,04847844	0	0	-0,05483627	0	0	-0,003973643	0	0	0,5841255	0	0	0,5507469	0	0	0,02543131	0	0	-0,09059906	0	0	0,05483627	0	0	-0,4283587	0	0	-0,1096725	0	0	-0,08424123	0	0	0,1533826	0	0	-0,07549921	0	0	-0,1517932	0	0	-0,02622604	0	0	0,002384186	0	0	-0,01430511	0	0	0,01192093	0	0	0,02145767	0	0	0,02940496	0	0	-0,0007947286	0	0	-0,120004	3,333333E-05	0	0,02304713	0	0	0,2384186	0	0	0,0007947286	0	0	0,0007947286	0	0	0,0007947286	0	0	-0,0445048	0	0	0,002384186	0	0	-0,04847844	0	0	0,01827876	0	0	-0,02384186	0	0	0,09298325	0	0	0,02304713	0	0	-0,008742015	0	0	-0,003178914	0	0	-0,01033147	0	0	-0,02463659	0	0	-0,007947286	0	0	-0,01430511	0	0	-0,0222524	0	0	0,03019969	0	0	0,02304713	0	0	-0,01033147	0	0	-0,01907349	0	0	0,002384186	0	0	0,0007947286	0	0	0,003178914	0	0	-0,01271566	0	0	0,521342	0	0	0,2861023	0	0	-0,03496806	0
0,1	0,1001358	0,0006	0,1	-0,0222524	0,0005666667	0,1	-0,0055631	0,0005333333	0,1	0,0945727	0,0005666667	0,1	0,6151199	0,0005666667	0,1	0,5690257	0,0005333333	0,1	0,0611941	0,0005666667	0,1	0,01589457	0,0006	0,1	0,1136462	0,0005333333	0,1	-0,4029274	0,0005333333	0,1	-0,02384186	0,0006666667	0,1	-0,05324681	0,0005666667	0,1	0,2614657	0,0005666667	0,1	-0,0278155	0,0006333333	0,1	-0,02145767	0,0006666667	0,1	-0,008742015	0,0005333333	0,1	0,0611941	0,0006	0,1	0,009536743	0,0006333333	0,1	0,06198883	0,0006333333	0,1	0,0278155	0,0006333333	0,1	0,1064936	0,0006333333	0,1	0,166893	0,0006333333	0,1	-0,05245209	0,0006	0,1	0,1033147	0,0006	0,1	0,3019969	0,0006	0,1	0,02543131	0,0005333333	0,1	0,0007947286	0,0005666667	0,1	0,03655751	0,0005333333	0,1	0,0500679	0,0006333333	0,1	0,05880992	0,0005666667	0,1	0,04529953	0,0005333333	0,1	0,03655751	0,0005666667	0,1	0,03735225	0,0005666667	0,1	0,1215935	0,0006	0,1	0,05483627	0,0006666667	0,1	-0,003973643	0,0006	0,1	0,07947286	0,0006333333	0,1	0,1446406	0,0006	0,1	0,06596247	0,0006333333	0,1	0,06357829	0,0006	0,1	0,2408028	0,0007	0,1	0,1708667	0,0006	0,1	0,06596247	0,0005	0,1	0,1335144	0,0005	0,1	0,08424123	0,0006	0,1	0,09059906	0,0006	0,1	0,01192093	0,0005	0,1	0,03655751	0,0006333333	0,1	0,1192093	0,0006	0,1	0,1621246	0,0006333333	0,1	0,6071727	0,0005333333	0,1	0,3417333	0,0006	0,1	0,1176198	0,0006666667
0,2	0,2336502	0,001666667	0,2	0,03496806	0,001566667	0,2	0,04609426	0,0016	0,2	1,580715	0,001666667	0,2	0,6333987	0,0016	0,2	0,8805593	0,0016	0,2	0,1351039	0,001633333	0,2	0,8940697	0,001566667	0,2	0,1486142	0,001566667	0,2	0,2725919	0,0016	0,2	0,4355113	0,001633333	0,2	0,03735225	0,0016	0,2	0,6985664	0,001566667	0,2	0,08424123	0,0016	0,2	0,2074242	0,001633333	0,2	0,0834465	0,0016	0,2	0,1279513	0,001666667	0,2	0,02066294	0,001633333	0,2	0,1128515	0,001633333	0,2	0,05483627	0,001633333	0,2	0,2455711	0,001666667	0,2	1,154741	0,001633333	0,2	0,4490217	0,001666667	0,2	0,6580353	0,001633333	0,2	0,3616015	0,001633333	0,2	0,6985664	0,001633333	0,2	0,175635	0,001633333	0,2	1,513958	0,001633333	0,2	0,05880992	0,0016	0,2	0,3218651	0,001633333	0,2	1,595815	0,0016	0,2	0,06357829	0,0016	0,2	0,1851718	0,001666667	0,2	0,1867612	0,001633333	0,2	0,3107389	0,0016	0,2	0,03655751	0,001633333	0,2	0,8575122	0,001633333	0,2	1,266797	0,0016	0,2	0,3369649	0,001633333	0,2	0,1629194	0,001633333	0,2	0,6643931	0,001633333	0,2	0,9997686	0,001566667	0,2	0,09218851	0,001566667	0,2	1,519521	0,001566667	0,2	1,527468	0,001633333	0,2	0,3194809	0,001633333	0,2	0,07867813	0,001566667	0,2	0,04609426	0,001633333	0,2	0,1645088	0,001633333	0,2	0,7462502	0,001666667	0,2	1,935959	0,001533333	0,2	0,8400281	0,001633333	0,2	0,5118052	0,001633333
0,3	0,2392133	0,002466667	0,3	-0,0222524	0,002433333	0,3	0,007947286	0,002466667	0,3	1,639525	0,002466667	0,3	0,6246567	0,002433333	0,3	0,8440018	0,002466667	0,3	0,1470248	0,002433333	0,3	0,851949	0,002433333	0,3	0,1470248	0,002433333	0,3	0,406901	0,002466667	0,3	0,4204114	0,0025	0,3	-0,003973643	0,002433333	0,3	0,6667773	0,002433333	0,3	0,07549921	0,002466667	0,3	0,243187	0,002466667	0,3	0,07867813	0,002433333	0,3	0,1335144	0,002466667	0,3	0,03258387	0,002466667	0,3	0,1335144	0,002466667	0,3	0,07470449	0,0025	0,3	0,222524	0,002466667	0,3	1,296202	0,002466667	0,3	0,6087621	0,002433333	0,3	0,7033348	0,002466667	0,3	0,3528595	0,002466667	0,3	0,7073085	0,002466667	0,3	0,1819928	0,002466667	0,3	1,62522	0,002433333	0,3	0,009536743	0,002466667	0,3	0,3059705	0,002466667	0,3	1,553694	0,002433333	0,3	0,07470449	0,002466667	0,3	0,187556	0,0025	0,3	0,175635	0,002466667	0,3	0,6802877	0,002466667	0,3	0,03178914	0,002466667	0,3	0,9051959	0,002466667	0,3	1,385212	0,002466667	0,3	0,3345807	0,002466667	0,3	0,1335144	0,002466667	0,3	0,7184346	0,002466667	0,3	0,9632111	0,002466667	0,3	0,05960464	0,002433333	0,3	1,335939	0,002433333	0,3	1,775424	0,0025	0,3	0,3918012	0,0025	0,3	0,05880992	0,002433333	0,3	0,03417333	0,002466667	0,3	0,1549721	0,002466667	0,3	0,7748604	0,0025	0,3	2,155304	0,002433333	0,3	0,9139379	0,002466667	0,3	0,521342	0,0025
0,4	0,2789497	0,0033	0,4	-0,03258387	0,003266667	0,4	-0,0007947286	0,003266667	0,4	1,65542	0,003333333	0,4	0,6159146	0,003266667	0,4	0,8376439	0,0033	0,4	0,1414617	0,003333333	0,4	0,8487701	0,0033	0,4	0,1462301	0,0033	0,4	0,3918012	0,0033	0,4	0,4204114	0,0033	0,4	0,002384186	0,0033	0,4	0,6612142	0,003266667	0,4	0,07708868	0,0033	0,4	0,2249082	0,0033	0,4	0,06993612	0,003266667	0,4	0,1374881	0,003266667	0,4	0,02702077	0,0033	0,4	0,128746	0,0033	0,4	0,05642573	0,003333333	0,4	0,2272924	0,003333333	0,4	1,409849	0,0033	0,4	0,8495649	0,0033	0,4	0,7081032	0,0033	0,4	0,3417333	0,0033	0,4	0,752608	0,0033	0,4	0,2145767	0,0033	0,4	1,649857	0,0033	0,4	0,003178914	0,0033	0,4	0,2853076	0,003266667	0,4	1,562436	0,0033	0,4	0,07073084	0,0033	0,4	0,2098083	0,003333333	0,4	0,1692772	0,003366667	0,4	0,9814898	0,0033	0,4	0,01589457	0,0033	0,4	0,9632111	0,0033	0,4	1,482169	0,0033	0,4	0,3488859	0,0033	0,4	0,1764297	0,0033	0,4	0,7295609	0,0033	0,4	0,9687741	0,003266667	0,4	0,06755193	0,0033	0,4	1,338323	0,003266667	0,4	1,832644	0,003333333	0,4	0,398159	0,0033	0,4	0,05642573	0,003266667	0,4	0,03655751	0,0033	0,4	0,1438459	0,0033	0,4	0,7923444	0,0033	0,4	2,16643	0,003233333	0,4	0,9862582	0,0033	0,4	0,5118052	0,003333333
0,5	0,30756	0,004133333	0,5	0,007947286	0,004066667	0,5	0,0389417	0,004133333	0,5	1,628399	0,004133333	0,5	0,6095569	0,004133333	0,5	0,851949	0,004066667	0,5	0,1382828	0,004133333	0,5	0,8408229	0,0041	0,5	0,1462301	0,0041	0,5	0,4108747	0,004133333	0,5	0,445048	0,004133333	0,5	0,02304713	0,0041	0,5	0,6945928	0,0041	0,5	0,0945727	0,004133333	0,5	0,2654394	0,004133333	0,5	0,06993612	0,004133333	0,5	0,1533826	0,0041	0,5	0,04768372	0,004133333	0,5	0,120004	0,004133333	0,5	0,03178914	0,004166667	0,5	0,2177556	0,004166667	0,5	1,558463	0,004133333	0,5	1,094341	0,004166667	0,5	0,7279714	0,004133333	0,5	0,3759066	0,004133333	0,5	0,752608	0,004166667	0,5	0,231266	0,004133333	0,5	1,775424	0,004166667	0,5	-0,0278155	0,004133333	0,5	0,2813339	0,0041	0,5	1,584689	0,0041	0,5	0,07311503	0,004133333	0,5	0,4990896	0,004166667	0,5	0,2026558	0,004166667	0,5	1,204014	0,004133333	0,5	0,02702077	0,004133333	0,5	0,9528796	0,004133333	0,5	1,502037	0,004133333	0,5	0,3536542	0,004133333	0,5	0,1629194	0,004133333	0,5	0,726382	0,004133333	0,5	0,9965897	0,0041	0,5	0,05880992	0,004133333	0,5	1,309713	0,004066667	0,5	1,865228	0,004133333	0,5	0,4204114	0,004166667	0,5	0,04609426	0,0041	0,5	0,03496806	0,004166667	0,5	0,1358986	0,004133333	0,5	0,7994969	0,004133333	0,5	2,200603	0,0041	0,5	1,029173	0,004133333	0,5	0,5125999	0,004133333
0,6	0,2924601	0,004966667	0,6	0,0389417	0,004866667	0,6	0,03735225	0,0049	0,6	1,644293	0,004966667	0,6	0,6333987	0,004933333	0,6	0,8606911	0,0049	0,6	0,1239777	0,004966667	0,6	0,8630753	0,004933333	0,6	0,1263618	0,0049	0,6	0,4704793	0,0049	0,6	0,4879633	0,004966667	0,6	0,05245209	0,004866667	0,6	0,723203	0,004866667	0,6	0,09059906	0,004966667	0,6	0,269413	0,005	0,6	0,1056989	0,004866667	0,6	0,1263618	0,004966667	0,6	0,04609426	0,005	0,6	0,1382828	0,004966667	0,6	0,06596247	0,005	0,6	0,20504	0,004966667	0,6	1,675288	0,005	0,6	1,165072	0,004966667	0,6	0,7279714	0,004966667	0,6	0,3671646	0,004966667	0,6	0,7796288	0,004966667	0,6	0,2145767	0,004966667	0,6	1,800855	0,004966667	0,6	-0,01509984	0,004966667	0,6	0,3083547	0,004966667	0,6	1,691182	0,0049	0,6	0,08662542	0,004966667	0,6	1,109441	0,004966667	0,6	0,1740456	0,005	0,6	1,206398	0,004966667	0,6	0,05404155	0,004966667	0,6	0,9640058	0,004966667	0,6	1,502832	0,005	0,6	0,3242493	0,004966667	0,6	0,1684825	0,004966667	0,6	0,7343292	0,004966667	0,6	1,069705	0,004866667	0,6	0,06993612	0,0049	0,6	1,751582	0,004866667	0,6	1,928012	0,004966667	0,6	0,4220009	0,004966667	0,6	0,0389417	0,0049	0,6	0,02940496	0,005	0,6	0,1549721	0,004966667	0,6	0,7931392	0,004966667	0,6	2,328555	0,004866667	0,6	1,0101	0,004966667	0,6	0,5412102	0,005
0,7	0,3083547	0,005833333	0,7	0,04291534	0,005733334	0,7	0,0389417	0,005733334	0,7	1,632372	0,0058	0,7	0,6405513	0,005733334	0,7	0,9004275	0,005733334	0,7	0,1263618	0,0058	0,7	0,9187062	0,005733334	0,7	0,1605352	0,0057	0,7	0,6318092	0,0057	0,7	0,4943212	0,0058	0,7	0,03496806	0,005733334	0,7	0,6945928	0,0057	0,7	0,08980433	0,0058	0,7	0,2678235	0,005833333	0,7	0,1168251	0,005733334	0,7	0,1422564	0,005766667	0,7	0,0166893	0,0058	0,7	0,1223882	0,0058	0,7	0,06834666	0,005833333	0,7	0,1978874	0,0058	0,7	1,749198	0,005833333	0,7	1,36137	0,005833333	0,7	0,7279714	0,005766667	0,7	0,436306	0,0058	0,7	0,7486343	0,0058	0,7	0,2121925	0,0058	0,7	1,820723	0,0058	0,7	-0,03258387	0,0058	0,7	0,2813339	0,0058	0,7	1,730919	0,005733334	0,7	0,09695689	0,005833333	0,7	1,66893	0,0058	0,7	0,193119	0,005833333	0,7	1,262029	0,0058	0,7	0,05165736	0,0058	0,7	0,9616216	0,0058	0,7	1,524289	0,0058	0,7	0,3242493	0,005766667	0,7	0,1684825	0,0058	0,7	0,7327397	0,0058	0,7	1,077652	0,005733334	0,7	0,08662542	0,005766667	0,7	1,810392	0,0057	0,7	1,953443	0,0058	0,7	0,4299482	0,005833333	0,7	0,05165736	0,0057	0,7	0,01907349	0,0058	0,7	0,1414617	0,0058	0,7	0,7947286	0,0058	0,7	3,346602	0,005733334	0,7	1,066526	0,0058	0,7	0,5396207	0,005833333
