1 _ 1				1 _ 2				1 _ 3				1 _ 4				1 _ 5				1 _ 6			
Время	Сила	Ход	Экст.1	Время	Сила	Ход	Экст.1	Время	Сила	Ход	Экст.1	Время	Сила	Ход	Экст.1	Время	Сила	Ход	Экст.1	Время	Сила	Ход	Экст.1
сек	Н	мм	мм	сек	Н	мм	мм	сек	Н	мм	мм	сек	Н	мм	мм	сек	Н	мм	мм	сек	Н	мм	мм
0	-1,606146	0,0001	0	0	-1,467069	6,666667E-05	0,003814697	0	-1,042684	6,666667E-05	0,007629395	0	-1,065731	0,0001	0,003814697	0	-1,370907	0,0001	0	0	-1,296997	0,0001333333	0,003814697
0,02	-1,606941	0,009166666	0,003814697	0,02	-1,455943	0,0092	-0,00445048	0,02	-1,063347	0,0094	0	0,02	-1,070499	0,0096	0	0,02	-1,36137	0,0098	-0,00445048	0,02	-1,303355	0,009566667	0,003814697
0,04	-1,59502	0,03883334	0,003814697	0,04	-1,438459	0,03903333	0	0,04	-1,045863	0,03913333	0,007629395	0,04	-1,043479	0,0401	0,003814697	0,04	-1,324018	0,0402	0	0,04	-1,269182	0,03953333	0
0,06	-1,496474	0,08866667	0,007629395	0,06	-1,352628	0,08886667	0	0,06	-0,9504954	0,08913334	0,003814697	0,06	-0,9481112	0,08936667	0,007629395	0,06	-1,253287	0,08963333	0	0,06	-1,160304	0,08936667	0,003814697
0,08	-1,427333	0,1577333	0,003814697	0,08	-1,309713	0,1579	0,003814697	0,08	-0,8861224	0,1582	0,003814697	0,08	-0,9012222	0,1583	0,003814697	0,08	-1,22865	0,1582	0,003814697	0,08	-1,121362	0,1582	0
0,1	-1,384417	0,2466	0,007629395	0,1	-1,294613	0,2467667	0	0,1	-0,8749962	0,2467667	0,007629395	0,1	-0,8742015	0,247	0,003814697	0,1	-1,191298	0,2470333	0	0,1	-1,116594	0,2471667	0,003814697
0,12	-1,298586	0,3552333	0,01144409	0,12	-1,22865	0,3555333	0	0,12	-0,8249283	0,3554	0,003814697	0,12	-0,825723	0,3557	0,003814697	0,12	-1,134872	0,3554667	0,003814697	0,12	-1,087983	0,3555333	0,003814697
0,14	-1,21514	0,4840667	0,007629395	0,14	-1,176993	0,4839	0	0,14	-0,7891655	0,484	0,003814697	0,14	-0,7756551	0,4843333	0,003814697	0,14	-1,090368	0,4842667	0,003814697	0,14	-1,042684	0,4840667	0
0,16	-1,087189	0,6319	0,09473165	0,16	-1,115004	0,6322	0	0,16	-0,7239978	0,6324667	0,08710226	0,16	-0,7311503	0,6323333	0,007629395	0,16	-1,058578	0,6325	0,003814697	0,16	-0,975132	0,6322333	0,003814697
0,18	-0,9735425	0,8003667	0,1029968	0,18	-1,022021	0,8004667	0	0,18	-0,6866455	0,8005334	0,1029968	0,18	-0,6786982	0,8005667	0,007629395	0,18	-1,000563	0,8004333	0,003814697	0,18	-0,9234746	0,8006334	0
0,2	-0,8145968	0,9890667	0,1856486	0,2	-0,9290377	0,9891334	0,003814697	0,2	-0,623862	0,989	0,1818339	0,2	-0,6349881	0,9892	0,003814697	0,2	-0,9020169	0,9892333	0	0,2	-0,8829435	0,9891667	0,003814697
