"1 _ 1 +23",,,"1 _ 1 _10",,,"1 _ 2 +35",,
"Время","Сила","Ход","Время","Сила","Ход","Время","Сила","Ход"
"сек","Н","мм","сек","Н","мм","сек","Н","мм"
"0","-0,1144409","0,0001","0","-0,0445048","0,0001","0","-0,2304713","0,0001"
"0,01","-0,111262","0,0022","0,01","-0,0445048","0,0022","0,01","-0,2241135","0,0022"
"0,02","-0,1041094","0,009133333","0,02","-0,04212062","0,009133333","0,02","-0,2193451","0,008966667"
"0,03","-0,09139379","0,01883333","0,03","-0,03258387","0,0189","0,03","-0,2042453","0,01853333"
"0,04","-0,06834666","0,02886667","0,04","-0,007947286","0,02913333","0,04","-0,1700719","0,02846667"
"0,05","-0,03814697","0,0387","0,05","0,02702077","0,03906667","0,05","-0,1247724","0,0384"
"0,06","-0,01748403","0,04853334","0,06","0,04768372","0,04866667","0,06","-0,09616216","0,04846667"
"0,07","-0,01430511","0,05833333","0,07","0,04529953","0,0583","0,07","-0,09854635","0,0586"
"0,08","-0,01430511","0,06826667","0,08","0,03496806","0,0681","0,08","-0,1088778","0,06873333"
"0,09","0,004768372","0,07846667","0,09","0,04132589","0,07806667","0,09","-0,09775162","0,07883333"
"0,1","0,04053116","0,08863334","0,1","0,06755193","0,0883","0,1","-0,06198883","0,08866667"
"0,11","0,08106232","0,0986","0,11","0,1033147","0,09843334","0,11","-0,02145767","0,09836667"
"0,12","0,1128515","0,1084667","0,12","0,1358986","0,1085","0,12","0,004768372","0,1079333"
"0,13","0,1374881","0,1183","0,13","0,1653035","0,1185333","0,13","0,02145767","0,1178667"
"0,14","0,1621246","0,1282667","0,14","0,196298","0,1284667","0,14","0,04609426","0,1281"
"0,15","0,1899401","0,1382667","0,15","0,2272924","0,1382333","0,15","0,08185705","0,1383667"
"0,16","0,2209346","0,1483333","0,16","0,2566973","0,1480667","0,16","0,1223882","0,1486333"
"0,17","0,2590815","0,1585667","0,17","0,2876917","0,1580667","0,17","0,1597404","0,1588333"
"0,18","0,2972285","0,1688","0,18","0,3234545","0,1682667","0,18","0,1891454","0,1688333"
"0,19","0,3314018","0,1788","0,19","0,3592173","0,1785667","0,19","0,2161662","0,1786"
"0,2","0,3616015","0,1885333","0,2","0,3910065","0,1887667","0,2","0,2495448","0,1882667"
"0,21","0,3910065","0,1982667","0,21","0,4227956","0,1989","0,21","0,2876917","0,1981"
"0,22","0,4243851","0,2081667","0,22","0,45379","0,2088","0,22","0,3194809","0,2081333"
"0,23","0,4545847","0,2181333","0,23","0,4768372","0,2184333","0,23","0,342528","0,2183667"
"0,24","0,4839897","0,2281667","0,24","0,4951159","0,2280667","0,24","0,3671646","0,2284667"
"0,25","0,5149841","0,2383667","0,25","0,5197525","0,2379333","0,25","0,4053116","0,2386"
"0,26","0,5443891","0,2486","0,26","0,5571048","0,2481","0,26","0,4490217","0,2486333"
"0,27","0,5753835","0,2586667","0,27","0,6016095","0,2584","0,27","0,4871686","0,2585"
"0,28","0,6071727","0,2685667","0,28","0,6429355","0,2686","0,28","0,5125999","0,2681333"
"0,29","0,6421407","0,2784","0,29","0,6763141","0,2786667","0,29","0,530084","0,2779667"
"0,3","0,6747246","0,2883","0,3","0,6993611","0,2887","0,3","0,5459785","0,2880333"
"0,31","0,7096927","0,2983","0,31","0,7216136","0,2984667","0,31","0,5682309","0,2982667"
"0,32","0,743866","0,3081333","0,32","0,7454554","0,3081667","0,32","0,6016095","0,3085333"
"0,33","0,7796288","0,3182333","0,33","0,770092","0,3179667","0,33","0,6405513","0,3187"
"0,34","0,8106232","0,3285","0,34","0,7955233","0,328","0,34","0,6779035","0,3287667"
"0,35","0,8376439","0,3386333","0,35","0,8241336","0,3383","0,35","0,7073085","0,3386667"
"0,36","0,8710225","0,3486333","0,36","0,8583069","0,3485667","0,36","0,7390976","0,3483"
"0,37","0,9091695","0,3585","0,37","0,8964539","0,3586","0,37","0,7748604","0,3579667"
"0,38","0,9385745","0,3683667","0,38","0,9306272","0,3687333","0,38","0,8042653","0,3679333"
"0,39","0,957648","0,3782667","0,39","0,957648","0,3786334","0,39","0,8241336","0,3781667"
"0,4","0,9791057","0,3882","0,4","0,9854634","0,3883334","0,4","0,8495649","0,3885"
"0,41","1,013279","0,3982","0,41","1,013279","0,3981","0,41","0,8924802","0,3986667"
"0,42","1,053015","0,4084333","0,42","1,037916","0,4081333","0,42","0,9417534","0,4088"
"0,43","1,089573","0,4186333","0,43","1,061757","0,4183","0,43","0,9775162","0,4187"
"0,44","1,126925","0,4285667","0,44","1,091162","0,4285","0,44","0,9997686","0,4283333"
"0,45","1,16984","0,4383","0,45","1,121362","0,4386","0,45","1,019637","0,438"
"0,46","1,207987","0,4482333","0,46","1,145204","0,4487333","0,46","1,0403","0,4479"
"0,47","1,23024","0,4582","0,47","1,161098","0,4587","0,47","1,06732","0,4580334"
"0,48","1,248519","0,4681333","0,48","1,183351","0,4684334","0,48","1,09911","0,4683667"
"0,49","1,277924","0,4781","0,49","1,213551","0,4781","0,49","1,134078","0,4785333"
"0,5","1,313686","0,4882333","0,5","1,246134","0,4879667","0,5","1,163483","0,4886"
"0,51","1,345476","0,4984667","0,51","1,27395","0,4980667","0,51","1,195272","0,4986667"
"0,52","1,371702","0,5085","0,52","1,306534","0,5083","0,52","1,233419","0,5084333"
"0,53","1,394749","0,5185","0,53","1,347065","0,5184333","0,53","1,27395","0,5181667"
"0,54","1,421769","0,5284333","0,54","1,386007","0,5285333","0,54","1,30256","0,5279667"
"0,55","1,455943","0,5383667","0,55","1,414617","0,5385666","0,55","1,320839","0,5379667"
"0,56","1,493295","0,5482666","0,56","1,437664","0,5483667","0,56","1,340707","0,5481333"
"0,57","1,5227","0,5581667","0,57","1,459122","0,5580667","0,57","1,372496","0,5584"
"0,58","1,549721","0,5682333","0,58","1,482169","0,5678667","0,58","1,415412","0,5686"
"0,59","1,58151","0,5785","0,59","1,5076","0,5779333","0,59","1,459916","0,5787666"
"0,6","1,617273","0,5886","0,6","1,542568","0,5882667","0,6","1,495679","0,5886667"
"0,61","1,648267","0,5985333","0,61","1,578331","0,5985333","0,61","1,520316","0,5983334"
"0,62","1,673698","0,6084","0,62","1,61171","0,6085667","0,62","1,540184","0,608"
"0,63","1,701514","0,6182333","0,63","1,63873","0,6186666","0,63","1,564821","0,6179333"
"0,64","1,734098","0,6281667","0,64","1,664162","0,6285334","0,64","1,597404","0,6280667"
"0,65","1,767476","0,6381333","0,65","1,688798","0,6382","0,65","1,633167","0,6383333"
"0,66","1,798471","0,6481333","0,66","1,719793","0,6479334","0,66","1,663367","0,6484666"
"0,67","1,83026","0,6584","0,67","1,755556","0,6579","0,67","1,68244","0,6586334"
"0,68","1,867612","0,6686","0,68","1,787345","0,6681667","0,68","1,703898","0,6686"
"0,69","1,908143","0,6786333","0,69","1,812776","0,6784667","0,69","1,731714","0,6783333"
"0,7","1,943111","0,6884","0,7","1,834234","0,6886","0,7","1,761119","0,6881"
"0,71","1,970927","0,6982","0,71","1,853307","0,6987666","0,71","1,789729","0,698"
"0,72","1,992385","0,7081667","0,72","1,875559","0,7086667","0,72","1,818339","0,7081333"
"0,73","2,019405","0,7181666","0,73","1,897017","0,7183667","0,73","1,850923","0,7184"
"0,74","2,054374","0,7281667","0,74","1,924038","0,7280334","0,74","1,893044","0,7285333"
"0,75","2,087752","0,7384334","0,75","1,959801","0,7379333","0,75","1,937548","0,7387334"
"0,76","2,113183","0,7486667","0,76","1,997948","0,7480667","0,76","1,974106","0,7487667"
"0,77","2,137025","0,7587","0,77","2,030532","0,7583333","0,77","1,996358","0,7585"
"0,78","2,168814","0,7686","0,78","2,056758","0,7684667","0,78","2,011458","0,7681667"
"0,79","2,207756","0,7784667","0,79","2,079805","0,7786","0,79","2,029737","0,7779334"
"0,8","2,243519","0,7883334","0,8","2,106031","0,7886667","0,8","2,056758","0,7880334"
"0,81","2,268155","0,7983","0,81","2,137025","0,7985333","0,81","2,086163","0,7983333"
"0,82","2,286434","0,8082333","0,82","2,168814","0,8083","0,82","2,112389","0,8086666"
"0,83","2,310276","0,8183666","0,83","2,19663","0,8181334","0,83","2,137025","0,8188334"
"0,84","2,342065","0,8285667","0,84","2,216498","0,8282334","0,84","2,164841","0,8288667"
"0,85","2,380212","0,8386","0,85","2,233982","0,8384667","0,85","2,199014","0,8387"
"0,86","2,413591","0,8485","0,86","2,257029","0,8486333","0,86","2,236366","0,8483"
"0,87","2,438227","0,8583333","0,87","2,286434","0,8586667","0,87","2,274513","0,8579667"
"0,88","2,462864","0,8682","0,88","2,315044","0,8687","0,88","2,303918","0,8679"
"0,89","2,492269","0,8782","0,89","2,34127","0,8785334","0,89","2,321402","0,8780333"
"0,9","2,524058","0,8882","0,9","2,370675","0,8883","0,9","2,339681","0,8883333"
"0,91","2,552668","0,8982334","0,91","2,403259","0,8980667","0,91","2,376239","0,8985333"
"0,92","2,579689","0,9085333","0,92","2,434254","0,9080334","0,92","2,424717","0,9087"
"0,93","2,613068","0,9187","0,93","2,45889","0,9182","0,93","2,46048","0,9187"
"0,94","2,652009","0,9286333","0,94","2,485911","0,9284334","0,94","2,479553","0,9284667"
"0,95","2,690156","0,9384","0,95","2,516906","0,9385334","0,95","2,494653","0,9382"
"0,96","2,719561","0,9482","0,96","2,543926","0,9487333","0,96","2,51929","0,9480667"
"0,97","2,741814","0,9581333","0,97","2,568563","0,9586334","0,97","2,555053","0,9581667"
"0,98","2,765656","0,9681","0,98","2,599557","0,9683667","0,98","2,593994","0,9684"
"0,99","2,790292","0,9781333","0,99","2,633731","0,9780334","0,99","2,627373","0,9785"
"1","2,818108","0,9883667","1","2,655983","0,9878333","1","2,659162","0,9886333"
"1,01","2,85387","0,9986333","1,01","2,66552","0,998","1,01","2,69254","0,9987333"
"1,02","2,896786","1,008633","1,02","2,683799","1,008367","1,02","2,729893","1,0085"
"1,03","2,936522","1,018567","1,03","2,723535","1,0186","1,03","2,763271","1,0182"
"1,04","2,961953","1,0284","1,04","2,770424","1,028733","1,04","2,788703","1,028"
"1,05","2,979438","1,038267","1,05","2,803802","1,038733","1,05","2,810955","1,038"
"1,06","3,006458","1,0482","1,06","2,819697","1,0485","1,06","2,836386","1,048133"
"1,07","3,039837","1,058133","1,07","2,829234","1,058167","1,07","2,867381","1,0584"
"1,08","3,069242","1,068233","1,08","2,847512","1,067967","1,08","2,898375","1,068633"
"1,09","3,093879","1,078467","1,09","2,873739","1,077967","1,09","2,921422","1,0787"
"1,1","3,118515","1,088567","1,1","2,903144","1,0883","1,1","2,938906","1,088567"
"1,11","3,145536","1,098533","1,11","2,931754","1,0985","1,11","2,95639","1,098233"
"1,12","3,177325","1,1084","1,12","2,958775","1,1086","1,12","2,983411","1,1079"
"1,13","3,212293","1,118233","1,13","2,98659","1,118667","1,13","3,019969","1,117867"
"1,14","3,241698","1,128133","1,14","3,015995","1,1285","1,14","3,057321","1,128067"
"1,15","3,258387","1,138067","1,15","3,046195","1,1382","1,15","3,087521","1,1384"
"1,16","3,275871","1,148133","1,16","3,071626","1,147933","1,16","3,116925","1,148567"
"1,17","3,310045","1,158433","1,17","3,091494","1,157833","1,17","3,14792","1,158733"
"1,18","3,356934","1,168667","1,18","3,108978","1,168033","1,18","3,178914","1,168667"
"1,19","3,399054","1,1786","1,19","3,135999","1,178333","1,19","3,201167","1,178367"
"1,2","3,428459","1,1883","1,2","3,170172","1,188467","1,2","3,217061","1,188067"
"1,21","3,443559","1,1981","1,21","3,201167","1,198567","1,21","3,232956","1,197933"
"1,22","3,45548","1,208067","1,22","3,225803","1,208533","1,22","3,256003","1,207967"
"1,23","3,477732","1,2181","1,23","3,246466","1,218333","1,23","3,29415","1,218233"
"1,24","3,515879","1,2282","1,24","3,269513","1,228033","1,24","3,338655","1,2285"
"1,25","3,558795","1,2384","1,25","3,298918","1,237933","1,25","3,380775","1,2387"
"1,26","3,594558","1,2486","1,26","3,329118","1,248067","1,26","3,416538","1,248767"
"1,27","3,619194","1,2586","1,27","3,356139","1,258367","1,27","3,446738","1,2585"
"1,28","3,639062","1,268467","1,28","3,383954","1,268533","1,28","3,476143","1,268133"
"1,29","3,661315","1,278333","1,29","3,414949","1,278667","1,29","3,502369","1,2779"
"1,3","3,686746","1,2882","1,3","3,444354","1,2887","1,3","3,519853","1,287933"
"1,31","3,713767","1,298233","1,31","3,47058","1,2985","1,31","3,530979","1,2982"
"1,32","3,740788","1,308167","1,32","3,495216","1,3083","1,32","3,549258","1,3085"
"1,33","3,769398","1,3183","1,33","3,520648","1,318067","1,33","3,578663","1,318667"
"1,34","3,800392","1,328533","1,34","3,54449","1,3281","1,34","3,61681","1,328767"
"1,35","3,832181","1,338633","1,35","3,567537","1,3383","1,35","3,650188","1,338667"
"1,36","3,859997","1,3486","1,36","3,594558","1,348567","1,36","3,673236","1,348333"
"1,37","3,887017","1,358467","1,37","3,626347","1,358667","1,37","3,693104","1,358033"
"1,38","3,911654","1,368333","1,38","3,652573","1,368767","1,38","3,716151","1,368"
"1,39","3,93788","1,378233","1,39","3,666878","1,3786","1,39","3,748735","1,3782"
"1,4","3,972054","1,388233","1,4","3,681978","1,388267","1,4","3,787677","1,388467"
"1,41","4,010201","1,398333","1,41","3,701846","1,397967","1,41","3,825029","1,398567"
"1,42","4,042784","1,408533","1,42","3,731251","1,407967","1,42","3,848076","1,408767"
"1,43","4,064242","1,418667","1,43","3,76304","1,4182","1,43","3,859202","1,4187"
"1,44","4,088084","1,428633","1,44","3,794034","1,428467","1,44","3,872712","1,4284"
"1,45","4,119873","1,438433","1,45","3,819466","1,438667","1,45","3,898144","1,438167"
"1,46","4,15802","1,4483","1,46","3,845692","1,4488","1,46","3,933907","1,448067"
"1,47","4,192194","1,4582","1,47","3,873507","1,458733","1,47","3,968875","1,4582"
"1,48","4,216035","1,468133","1,48","3,903707","1,468433","1,48","3,995895","1,468433"
"1,49","4,234314","1,4781","1,49","3,930728","1,478033","1,49","4,020532","1,4785"
"1,5","4,261335","1,488267","1,5","3,955364","1,4879","1,5","4,048347","1,4886"
"1,51","4,30425","1,4985","1,51","3,980796","1,498033","1,51","4,081726","1,498667"
"1,52","4,351139","1,5086","1,52","4,010201","1,5083","1,52","4,1159","1,508467"
"1,53","4,382928","1,518567","1,53","4,045963","1,518567","1,53","4,148483","1,518167"
"1,54","4,398823","1,528467","1,54","4,083315","1,5287","1,54","4,17312","1,527933"
"1,55","4,409949","1,538367","1,55","4,113515","1,538667","1,55","4,191399","1,537967"
"1,56","4,432201","1,5483","1,56","4,134973","1,548467","1,56","4,21842","1,5482"
"1,57","4,471938","1,558267","1,57","4,151662","1,558233","1,57","4,26054","1,558533"
"1,58","4,517237","1,568333","1,58","4,173914","1,568033","1,58","4,306634","1,5688"
"1,59","4,549026","1,5785","1,59","4,20014","1,5781","1,59","4,344781","1,578867"
"1,6","4,5681","1,5886","1,6","4,227161","1,5883","1,6","4,367033","1,5887"
"1,61","4,587173","1,598533","1,61","4,254977","1,598467","1,61","4,382133","1,598333"
"1,62","4,618168","1,6083","1,62","4,281998","1,608533","1,62","4,40518","1,607967"
"1,63","4,653931","1,618167","1,63","4,309019","1,6186","1,63","4,440149","1,6179"
"1,64","4,68572","1,628167","1,64","4,340013","1,628467","1,64","4,478296","1,628067"
"1,65","4,709562","1,638233","1,65","4,371802","1,638233","1,65","4,512469","1,6384"
"1,66","4,72784","1,648333","1,66","4,398028","1,648033","1,66","4,53949","1,648633"
"1,67","4,746119","1,6585","1,67","4,415512","1,658033","1,67","4,562537","1,658733"
"1,68","4,770756","1,6686","1,68","4,429022","1,6682","1,68","4,586379","1,6686"
"1,69","4,800161","1,6785","1,69","4,453659","1,678467","1,69","4,608631","1,678333"
"1,7","4,826387","1,688233","1,7","4,489422","1,688633","1,7","4,62691","1,688067"
