"1 _ 1",,,,"1 _ 1_N",,,,"1 _ 2_N",,,,"1 _ 3_N",,,,"1 _ 4_N",,,,"1 _ 5_N",,,,"1 _ 6_N",,,,"1 _ 7_N",,,
"Время","Сила","Ход","Экст.1","Время","Сила","Ход","Экст.1","Время","Сила","Ход","Экст.1","Время","Сила","Ход","Экст.1","Время","Сила","Ход","Экст.1","Время","Сила","Ход","Экст.1","Время","Сила","Ход","Экст.1","Время","Сила","Ход","Экст.1"
"сек","Н","мм","мм","сек","Н","мм","мм","сек","Н","мм","мм","сек","Н","мм","мм","сек","Н","мм","мм","сек","Н","мм","мм","сек","Н","мм","мм","сек","Н","мм","мм"
"0","-0,5046527","0,0001","0","0","0,7073085","0,0001333333","0","0","23,96345","6,666667E-05","-0,194","0","-2,666314","6,666667E-05","0,001","0","-0,05722046","0,0001","-0,001","0","-0,06039937","0,0001","-0,013","0","0,0278155","0,0001333333","0,01","0","0,01827876","0,0001333333","-0,025"
"0,01","-0,5046527","0,002066667","0","0,01","0,6993611","0,002433333","0","0,01","23,96345","0,002066667","0","0,01","-2,659957","0,002133333","0","0,01","-0,05801519","0,002166667","0","0,01","-0,05722046","0,002266667","0,001","0,01","0,02066294","0,002266667","0","0,01","0,01589457","0,0022","0"
"0,02","-0,4975001","0,0088","0","0,02","0,6922086","0,008966667","0","0,02","23,96584","0,008633333","0","0,02","-2,661546","0,0089","-0,001","0,02","-0,05801519","0,009033334","0","0,02","-0,05483627","0,009233333","0,001","0,02","0,02066294","0,009133333","0","0,02","0,01589457","0,009000001","0"
"0,03","-0,4824003","0,01853333","0","0,03","0,6961823","0,01803333","0","0,03","23,97219","0,01766667","0","0,03","-2,663136","0,01806667","-0,001","0,03","-0,04927317","0,01866667","0","0,03","-0,04132589","0,01893333","0","0,03","0,03417333","0,01873333","0","0,03","0,02543131","0,0186","0"
"0,04","-0,4569689","0,0286","0","0,04","0,7192294","0,02803333","0","0,04","23,98809","0,0276","0","0,04","-2,65042","0,02813333","-0,001","0,04","-0,02145767","0,02866667","0","0,04","-0,008742015","0,02913333","0","0,04","0,06755193","0,02886667","0","0,04","0,05165736","0,02873333","0"
"0,05","-0,4220009","0,0386","0","0,05","0,76135","0,03823333","0","0,05","24,02067","0,0378","0","0,05","-2,618631","0,0383","-0,001","0,05","0,02066294","0,0386","0","0,05","0,0278155","0,03916667","0","0,05","0,1080831","0,0389","0","0,05","0,08662542","0,0388","0"
"0,06","-0,4037221","0,04866667","0","0,06","0,7947286","0,04836667","0","0,06","24,05087","0,04803333","0","0,06","-2,587636","0,04846667","-0,001","0,06","0,04371007","0,04866667","-0,001","0,06","0,04529953","0,04906667","0","0,06","0,1279513","0,04886667","-0,001","0,06","0,1104673","0,0488","-0,001"
"0,07","-0,4124641","0,05863333","0,001","0,07","0,7915497","0,05846667","0","0,07","24,05246","0,05826667","0","0,07","-2,573331","0,05836667","-0,001","0,07","0,03655751","0,05873333","-0,001","0,07","0,03655751","0,05886667","0","0,07","0,1176198","0,05893333","-0,001","0,07","0,111262","0,0588","-0,001"
"0,08","-0,4283587","0,0687","0,001","0,08","0,7645289","0,0686","0,001","0,08","24,02862","0,06836667","0","0,08","-2,569358","0,06803334","-0,001","0,08","0,01827876","0,06876667","-0,001","0,08","0,0278155","0,06863333","-0,001","0,08","0,1080831","0,0688","-0,001","0,08","0,1080831","0,06873333","-0,001"
"0,09","-0,4331271","0,07873333","0,002","0,09","0,7454554","0,0785","0,002","0,09","24,00796","0,07846667","-0,001","0,09","-2,556642","0,0778","-0,001","0,09","0,01907349","0,07873333","-0,002","0,09","0,03735225","0,07826667","-0,001","0,09","0,1215935","0,07846667","-0,002","0,09","0,120004","0,07843333","-0,002"
"0,1","-0,4259745","0,08853333","0,004","0,1","0,7454554","0,08816667","0,003","0,1","24,00557","0,0884","-0,001","0,1","-2,535184","0,08776667","-0,001","0,1","0,04291534","0,08846667","-0,002","0,1","0,06357829","0,08793333","-0,002","0,1","0,1509984","0,0881","-0,002","0,1","0,1446406","0,08816667","-0,002"
"0,11","-0,4116694","0,09823333","0,005","0,11","0,7573764","0,09793334","0,005","0,11","24,01908","0,09816667","-0,001","0,11","-2,512932","0,0979","-0,001","0,11","0,07311503","0,09813333","-0,002","0,11","0,09218851","0,09793334","-0,002","0,11","0,1819928","0,09786667","-0,002","0,11","0,1692772","0,09796667","-0,003"
"0,12","-0,3949801","0,1079667","0,006","0,12","0,7748604","0,1079","0,006","0,12","24,03498","0,1079333","-0,001","0,12","-2,493064","0,1082333","0,001","0,12","0,1033147","0,1079","-0,003","0,12","0,120004","0,1081667","-0,003","0,12","0,2090136","0,1079333","-0,003","0,12","0,1867612","0,1080333","-0,003"
"0,13","-0,3830592","0,1179333","0,007","0,13","0,7931392","0,1181","0,008","0,13","24,04451","0,1179333","-0,001","0,13","-2,466043","0,1185","0,004","0,13","0,1351039","0,1178667","-0,003","0,13","0,1517932","0,1184667","-0,003","0,13","0,2368291","0,1182","-0,003","0,13","0,20504","0,1183","-0,003"
"0,14","-0,3743172","0,1281333","0,007","0,14","0,8114179","0,1284","0,01","0,14","24,05087","0,1281667","-0,002","0,14","-2,43028","0,1287","0,008","0,14","0,1684825","0,1281333","-0,004","0,14","0,1891454","0,1286667","-0,004","0,14","0,2638499","0,1283667","-0,003","0,14","0,231266","0,1285","-0,004"
"0,15","-0,3679594","0,1383667","0,008","0,15","0,8265178","0,1386","0,011","0,15","24,05723","0,1384333","-0,002","0,15","-2,398491","0,1386667","0,011","0,15","0,2034505","0,1384","-0,004","0,15","0,2209346","0,1387333","-0,004","0,15","0,2884865","0,1385","-0,004","0,15","0,2614657","0,1386","-0,004"
"0,16","-0,3536542","0,1485333","0,009000001","0,16","0,8400281","0,1487667","0,012","0,16","24,0612","0,1486","-0,002","0,16","-2,381007","0,1484","0,014","0,16","0,2392133","0,1486333","-0,005","0,16","0,2479553","0,1486333","-0,005","0,16","0,3107389","0,1486","-0,004","0,16","0,2908707","0,1487","-0,005"
"0,17","-0,3266335","0,1587","0,009000001","0,17","0,8543332","0,1587333","0,014","0,17","24,062","0,1587667","-0,002","0,17","-2,365112","0,1581","0,018","0,17","0,2741814","0,1588","-0,005","0,17","0,2741814","0,1583667","-0,005","0,17","0,3345807","0,1585333","-0,004","0,17","0,3194809","0,1586667","-0,005"
"0,18","-0,2996127","0,1687","0,01","0,18","0,8654594","0,1684","0,015","0,18","24,06438","0,1687667","-0,002","0,18","-2,333323","0,1678667","0,021","0,18","0,2996127","0,1686667","-0,005","0,18","0,3059705","0,1681333","-0,006","0,18","0,3592173","0,1682667","-0,005","0,18","0,3480911","0,1684","-0,005"
"0,19","-0,286897","0,1784","0,011","0,19","0,8718173","0,1780333","0,017","0,19","24,06677","0,1785","-0,002","0,19","-2,293587","0,178","0,025","0,19","0,3170967","0,1783333","-0,005","0,19","0,3377596","0,1780667","-0,006","0,19","0,3838539","0,1780667","-0,005","0,19","0,3759066","0,1781667","-0,006"
"0,2","-0,286897","0,1880333","0,012","0,2","0,881354","0,1878667","0,018","0,2","24,07074","0,1881333","-0,003","0,2","-2,265771","0,1883","0,028","0,2","0,3314018","0,1881333","-0,006","0,2","0,3639857","0,1882","-0,007","0,2","0,4053116","0,1880667","-0,005","0,2","0,3997485","0,1880667","-0,006"
"0,21","-0,278155","0,1979333","0,014","0,21","0,9004275","0,1979667","0,02","0,21","24,08187","0,1978667","-0,003","0,21","-2,248287","0,1985333","0,031","0,21","0,3536542","0,1981333","-0,006","0,21","0,3862381","0,1984","-0,007","0,21","0,4323324","0,1982","-0,006","0,21","0,4227956","0,1982","-0,007"
"0,22","-0,2614657","0,2080667","0,016","0,22","0,9226799","0,2082333","0,022","0,22","24,09776","0,2079667","-0,003","0,22","-2,224445","0,2086667","0,034","0,22","0,3838539","0,2083667","-0,006","0,22","0,4116694","0,2085","-0,008","0,22","0,462532","0,2084","-0,006","0,22","0,4514059","0,2084333","-0,007"
"0,23","-0,2423922","0,2183667","0,017","0,23","0,936985","0,2184667","0,024","0,23","24,11524","0,2182667","-0,003","0,23","-2,191861","0,2187","0,038","0,23","0,4140536","0,2185333","-0,006","0,23","0,4378954","0,2186333","-0,008","0,23","0,4879633","0,2186","-0,006","0,23","0,483195","0,2186","-0,008"
